query_pid,query_wid,n_rel,s1_rel_ranks,s1_first,s1_ap,s1_top1,cov_K5,hyb_first_K5,hyb_ap_K5,hyb_top1_K5,rr_first_K5,rr_ap_K5,hub_first_K5,hub_ap_K5,hub_top1_K5,cov_K10,hyb_first_K10,hyb_ap_K10,hyb_top1_K10,rr_first_K10,rr_ap_K10,hub_first_K10,hub_ap_K10,hub_top1_K10,cov_K20,hyb_first_K20,hyb_ap_K20,hyb_top1_K20,rr_first_K20,rr_ap_K20,hub_first_K20,hub_ap_K20,hub_top1_K20,cov_K30,hyb_first_K30,hyb_ap_K30,hyb_top1_K30,rr_first_K30,rr_ap_K30,hub_first_K30,hub_ap_K30,hub_top1_K30,cov_K50,hyb_first_K50,hyb_ap_K50,hyb_top1_K50,rr_first_K50,rr_ap_K50,hub_first_K50,hub_ap_K50,hub_top1_K50,cov_K100,hyb_first_K100,hyb_ap_K100,hyb_top1_K100,rr_first_K100,rr_ap_K100,hub_first_K100,hub_ap_K100,hub_top1_K100,cov_K200,hyb_first_K200,hyb_ap_K200,hyb_top1_K200,rr_first_K200,rr_ap_K200,hub_first_K200,hub_ap_K200,hub_top1_K200,cov_K500,hyb_first_K500,hyb_ap_K500,hyb_top1_K500,rr_first_K500,rr_ap_K500,hub_first_K500,hub_ap_K500,hub_top1_K500
P_10144,W_10144,12,1;2;3;4;5;6;7;34;42;65;68;215,1,0.6517503870958045,P_36793,5,1,0.65175039,P_36793,1,0.65175039,1,0.65175039,P_81274,7,1,0.65175039,P_36793,1,0.65175039,1,0.65175039,P_36793,7,1,0.63323187,P_36793,1,0.61239854,1,0.65175039,P_61307,7,1,0.62675039,P_36793,1,0.59897261,1,0.65175039,P_61307,9,1,0.75119016,P_36793,1,0.71244245,1,0.78095207,P_36000,11,1,0.71076928,P_36793,1,0.65246779,1,0.78708787,P_36000,11,1,0.68165346,P_36793,1,0.60986617,1,0.77456967,P_36000,12,1,0.65551529,P_36793,1,0.56775206,1,0.84618971,P_36000
P_101442,W_63854,12,30;137;163;333;672;1644;1685;2099;2528;2722;3001;3200,30,0.009337823901533314,P_327671,0,30,0.00933782,P_327671,30,0.00933782,30,0.00933782,P_327671,0,30,0.00933782,P_327671,30,0.00933782,30,0.00933782,P_327671,0,30,0.00933782,P_327671,30,0.00933782,30,0.00933782,P_765364,1,24,0.01003227,P_327671,21,0.0105283,3,0.03433782,P_765364,1,41,0.00859257,P_764328,39,0.0086968,4,0.02739338,P_764328,1,79,0.0076149,P_764328,78,0.00762842,4,0.02739338,P_764328,3,24,0.00968698,P_764328,19,0.01058148,1,0.11636596,P_413555,4,37,0.00698082,P_764328,43,0.00664971,1,0.10636132,P_413555
P_101515,W_2393,12,3;6;7;21;26;285;399;810;1491;1708;2484;6503,3,0.12872163952113405,P_116877,1,1,0.1842772,P_2393,1,0.1842772,1,0.1842772,P_2393,3,1,0.2874518,P_2393,1,0.2874518,1,0.2874518,P_2393,3,1,0.2874518,P_2393,1,0.2874518,1,0.2874518,P_2393,5,1,0.35491212,P_2393,1,0.35491212,1,0.35376743,P_2393,5,1,0.34930314,P_2393,1,0.34930314,1,0.34880711,P_2393,5,1,0.34583092,P_2393,1,0.34519961,1,0.34459424,P_2393,5,1,0.34367575,P_2393,1,0.34309523,1,0.34250966,P_2393,7,1,0.32907237,P_2393,1,0.30854205,1,0.316423,P_2393
P_101520,W_3162,12,3;4;6;7;20;22;27;47;141;1041;2983;12585,3,0.24458651806844775,P_682108,2,1,0.34180874,P_8371,1,0.34180874,1,0.34180874,P_8371,4,1,0.41918969,P_8371,1,0.41918969,1,0.40252303,P_8371,5,1,0.40252303,P_8371,1,0.40252303,1,0.45788017,P_8371,7,1,0.45498171,P_8371,1,0.45498171,1,0.58550563,P_38903,8,1,0.43497864,P_8371,1,0.4116121,1,0.65044581,P_105417,8,1,0.3594688,P_8371,1,0.31995114,1,0.6411218,P_105417,9,1,0.29746577,P_8371,1,0.26854852,1,0.62822731,P_105417,9,1,0.23249341,P_8371,1,0.21214458,1,0.61444124,P_105417
P_101529,W_10788,12,13;31;103;118;186;366;490;502;520;1052;5038;12992,13,0.025656775342887152,P_96011,0,13,0.02565678,P_449248,13,0.02565678,13,0.02565678,P_12478,0,13,0.02565678,P_449248,13,0.02565678,13,0.02565678,P_12478,1,1,0.10257985,P_795447,1,0.10257985,1,0.10257985,P_795447,1,1,0.10257985,P_795447,1,0.10257985,1,0.10257985,P_795447,2,1,0.13053684,P_795447,1,0.15275906,1,0.18053684,P_795447,2,1,0.13053684,P_795447,1,0.15275906,1,0.18053684,P_795447,5,1,0.29050497,P_795447,1,0.35509594,1,0.39179465,P_10788,7,1,0.38784917,P_795447,1,0.43211301,1,0.56863621,P_10788
P_101533,W_15519,12,16;215;293;566;638;1084;1096;1341;1645;2957;3403;5917,16,0.010745533580513812,P_139969,0,16,0.01074553,P_60217,16,0.01074553,16,0.01074553,P_60217,0,16,0.01074553,P_247039,16,0.01074553,16,0.01074553,P_60217,1,1,0.08887053,P_56331,1,0.08887053,1,0.08887053,P_56331,1,1,0.08887053,P_56331,1,0.08887053,1,0.08887053,P_56331,1,1,0.08887053,P_56331,1,0.08887053,1,0.08887053,P_56331,1,1,0.08887053,P_56331,1,0.08887053,1,0.08887053,P_56331,1,1,0.08887053,P_56331,1,0.08887053,1,0.08887053,P_56331,3,1,0.25390876,P_56331,1,0.25390876,1,0.25390876,P_452930
P_101534,W_3177,12,906;1270;4485;5311;5385;5951;7136;7640;8207;8586;9277;11733,906,0.0010446002672145878,P_270255,0,906,0.0010446,P_270255,906,0.0010446,906,0.0010446,P_270255,0,906,0.0010446,P_270255,906,0.0010446,906,0.0010446,P_270255,0,906,0.0010446,P_270255,906,0.0010446,906,0.0010446,P_270255,0,906,0.0010446,P_270255,906,0.0010446,906,0.0010446,P_270255,0,906,0.0010446,P_270255,906,0.0010446,906,0.0010446,P_270255,0,906,0.0010446,P_270255,906,0.0010446,906,0.0010446,P_270255,0,906,0.0010446,P_449972,906,0.0010446,906,0.0010446,P_270255,0,906,0.0010446,P_449972,906,0.0010446,906,0.0010446,P_30478
P_101536,W_22451,12,23;67;316;510;1211;2049;3526;4091;5487;6011;7824;10610,23,0.008958704404852634,P_185370,0,23,0.0089587,P_164734,23,0.0089587,23,0.0089587,P_164734,0,23,0.0089587,P_292660,23,0.0089587,23,0.0089587,P_292660,0,23,0.0089587,P_292660,23,0.0089587,23,0.0089587,P_292660,1,1,0.08866885,P_81016,1,0.08866885,1,0.08866885,P_81016,1,1,0.08866885,P_81016,1,0.08866885,1,0.08866885,P_81016,2,1,0.16951462,P_81016,1,0.16951462,1,0.16951462,P_81016,2,1,0.16951462,P_81016,1,0.16951462,1,0.16951462,P_81016,3,1,0.25205681,P_444464,1,0.25205681,1,0.25205681,P_81016
P_1017,W_1017,12,1;2;5;6;10;11;16;17;26;83;132;187,1,0.48619580646733374,P_323537,3,1,0.51952914,P_323537,1,0.51952914,1,0.51952914,P_323537,5,1,0.55193655,P_323537,1,0.5750847,1,0.58897358,P_463272,8,1,0.66043761,P_323537,1,0.66727522,1,0.70858576,P_463272,9,1,0.66223859,P_746036,1,0.64562762,1,0.72973961,P_463272,9,1,0.64911791,P_323537,1,0.59253079,1,0.72140627,P_463272,10,1,0.59907419,P_746036,1,0.54347877,1,0.69565137,P_746036,12,1,0.55779102,P_746036,1,0.44131994,1,0.7145035,P_746036,12,1,0.53570221,P_746036,1,0.37010808,1,0.68612288,P_746036
P_101853,W_28493,12,1167;1608;2071;2781;2809;3046;3376;3422;4162;5313;6020;9657,1167,0.001688592632100432,P_319335,0,1167,0.00168859,P_776726,1167,0.00168859,1167,0.00168859,P_319335,0,1167,0.00168859,P_53042,1167,0.00168859,1167,0.00168859,P_53042,0,1167,0.00168859,P_53042,1167,0.00168859,1167,0.00168859,P_249511,0,1167,0.00168859,P_53042,1167,0.00168859,1167,0.00168859,P_249511,0,1167,0.00168859,P_520309,1167,0.00168859,1167,0.00168859,P_520309,0,1167,0.00168859,P_322800,1167,0.00168859,1167,0.00168859,P_520309,0,1167,0.00168859,P_322800,1167,0.00168859,1167,0.00168859,P_520309,0,1167,0.00168859,P_322800,1167,0.00168859,1167,0.00168859,P_520309
P_102024,W_2673,12,2;20;24;204;247;270;365;387;482;777;1480;2023,2,0.07265244384228377,P_4223,1,1,0.11431911,P_16895,2,0.07265244,1,0.11431911,P_16895,1,1,0.11431911,P_16895,2,0.07265244,1,0.11431911,P_16895,2,1,0.13931911,P_16895,2,0.11987467,1,0.16154133,P_16895,3,1,0.16779133,P_16895,2,0.12612467,1,0.16583055,P_16895,3,1,0.1624883,P_16895,3,0.08421645,1,0.16112467,P_16895,3,2,0.10390244,P_254520,4,0.06779133,1,0.15680648,P_16895,3,2,0.10232587,P_254520,5,0.0573416,1,0.14052525,P_16895,9,2,0.10313096,P_254520,6,0.05201366,2,0.10401256,P_320017
P_102104,W_6676,12,87;114;124;137;152;196;417;869;972;1163;1175;1551,87,0.017240386262284742,P_404786,0,87,0.01724039,P_729799,87,0.01724039,87,0.01724039,P_729799,0,87,0.01724039,P_729799,87,0.01724039,87,0.01724039,P_728254,0,87,0.01724039,P_729799,87,0.01724039,87,0.01724039,P_728254,0,87,0.01724039,P_306455,87,0.01724039,87,0.01724039,P_728254,0,87,0.01724039,P_306455,87,0.01724039,87,0.01724039,P_728254,1,6,0.03017142,P_306455,3,0.04406031,7,0.02818729,P_721589,6,7,0.03312434,P_306455,4,0.04357361,6,0.04243786,P_721589,7,5,0.0325738,P_306455,5,0.03204889,7,0.03453032,P_421895
P_10212,W_10212,12,1;7;10;53;79;139;339;727;1231;1458;2407;4391,1,0.15173069927890606,P_27345,1,1,0.1517307,P_27345,1,0.1517307,1,0.1517307,P_27345,3,1,0.26958784,P_387417,1,0.26958784,1,0.26958784,P_423882,3,1,0.26958784,P_387417,1,0.24875451,1,0.24875451,P_423882,3,1,0.26958784,P_387417,1,0.22792118,1,0.22196879,P_423882,3,1,0.24875451,P_387417,1,0.22196879,1,0.21125451,P_423882,5,1,0.34280688,P_101419,1,0.29869888,1,0.30336741,P_101419,6,1,0.38754403,P_101419,1,0.36102888,1,0.37043396,P_101419,7,1,0.36165127,P_101419,1,0.34682845,1,0.35606547,P_101419
P_10216,W_10216,12,228;409;423;613;626;784;1309;1550;2509;2563;2654;4828,228,0.00526346190164697,P_72595,0,228,0.00526346,P_519284,228,0.00526346,228,0.00526346,P_519284,0,228,0.00526346,P_519284,228,0.00526346,228,0.00526346,P_519284,0,228,0.00526346,P_548381,228,0.00526346,228,0.00526346,P_548381,0,228,0.00526346,P_548381,228,0.00526346,228,0.00526346,P_548381,0,228,0.00526346,P_169566,228,0.00526346,228,0.00526346,P_548381,0,228,0.00526346,P_169566,228,0.00526346,228,0.00526346,P_548381,0,228,0.00526346,P_197917,228,0.00526346,228,0.00526346,P_548381,3,2,0.04681062,P_156209,2,0.04685128,1,0.08897841,P_554293
P_102166,W_2976,12,41;200;272;300;307;312;327;339;1239;2471;3153;5359,41,0.013026231896885144,P_413873,0,41,0.01302623,P_410192,41,0.01302623,41,0.01302623,P_410192,0,41,0.01302623,P_410192,41,0.01302623,41,0.01302623,P_374679,0,41,0.01302623,P_410192,41,0.01302623,41,0.01302623,P_410192,0,41,0.01302623,P_410192,41,0.01302623,41,0.01302623,P_166621,1,17,0.01589567,P_166621,16,0.01620204,20,0.01516038,P_166621,1,23,0.0146169,P_166621,25,0.01432704,28,0.0139699,P_166621,2,35,0.01374037,P_166621,45,0.01330422,47,0.01335793,P_307999,8,28,0.03310776,P_166621,16,0.0394901,14,0.0287818,P_307999
P_102167,W_2974,12,30;212;262;343;349;363;412;567;697;733;838;1078,30,0.014887330056547294,P_28082,0,30,0.01488733,P_2696,30,0.01488733,30,0.01488733,P_2696,0,30,0.01488733,P_2696,30,0.01488733,30,0.01488733,P_2696,0,30,0.01488733,P_14272,30,0.01488733,30,0.01488733,P_14272,1,17,0.01701151,P_14272,17,0.01701151,5,0.02877622,P_14272,1,31,0.01479772,P_14272,31,0.01479772,5,0.02877622,P_14272,1,54,0.01365276,P_80071,55,0.0136247,10,0.02044289,P_14272,1,105,0.0129032,P_80071,112,0.0128536,23,0.01573274,P_134125,7,4,0.04062124,P_80071,3,0.04955742,3,0.10599809,P_134125
P_102171,W_100,12,9;29;53;69;130;219;627;2013;2076;4596;5834;9710,9,0.03210675505841011,P_131738,0,9,0.03210676,P_11787,9,0.03210676,9,0.03210676,P_11787,1,1,0.10618083,P_319330,1,0.10618083,1,0.10618083,P_319330,1,1,0.10618083,P_319330,1,0.10618083,1,0.10618083,P_319330,2,1,0.18376704,P_319330,1,0.18376704,1,0.18376704,P_295580,2,1,0.18376704,P_319330,1,0.18376704,1,0.18376704,P_295580,4,1,0.3408858,P_388605,1,0.3408858,1,0.3408858,P_100,5,1,0.42101401,P_388605,1,0.42101401,1,0.42101401,P_388605,6,1,0.4437309,P_388605,1,0.39006929,1,0.50206424,P_388605
P_102273,W_7495,12,1;2;12;13;59;65;77;97;170;185;246;3833,1,0.25524753876018286,P_299119,2,1,0.25524754,P_50915,1,0.25524754,1,0.25524754,P_50915,2,1,0.25524754,P_50915,1,0.22746976,1,0.25524754,P_50915,4,1,0.35877318,P_50915,1,0.33972556,1,0.37543985,P_50915,4,1,0.34766207,P_50915,1,0.33972556,1,0.37543985,P_50915,4,1,0.33972556,P_50915,1,0.32543985,1,0.37543985,P_50915,8,1,0.5040496,P_50915,1,0.48296782,1,0.6030395,P_50915,10,1,0.5777821,P_50915,1,0.55171318,1,0.67182305,P_50915,11,1,0.63822701,P_50915,1,0.613813,1,0.74700443,P_50915
P_10229,W_167,12,28;132;559;650;850;1484;1838;2083;2115;2865;5501;5612,28,0.007653715585558829,P_25031,0,28,0.00765372,P_19878,28,0.00765372,28,0.00765372,P_25102,0,28,0.00765372,P_19878,28,0.00765372,28,0.00765372,P_25102,0,28,0.00765372,P_9562,28,0.00765372,28,0.00765372,P_9562,1,1,0.08801086,P_13385,1,0.08801086,1,0.08801086,P_13385,1,1,0.08801086,P_13385,1,0.08801086,1,0.08801086,P_13385,1,1,0.08801086,P_13385,1,0.08801086,1,0.08801086,P_13385,2,1,0.17008157,P_158635,1,0.17008157,1,0.17008157,P_158635,2,1,0.17008157,P_158635,1,0.17008157,1,0.17008157,P_158635
P_102343,W_40034,12,1;120;645;4402;4651;7419;8167;8603;9503;12506;12968;13112,1,0.08578395124000089,P_40034,1,2,0.04411728,P_185645,3,0.0302284,2,0.04411728,P_185645,1,6,0.01633951,P_185645,6,0.01633951,5,0.01911728,P_185645,1,9,0.01170988,P_185645,10,0.01078395,6,0.01633951,P_185645,1,14,0.008403,P_426548,16,0.00765895,7,0.01435538,P_426548,1,22,0.0062385,P_426548,26,0.00565575,10,0.01078395,P_426548,1,34,0.0049016,P_426548,47,0.00422367,13,0.00886087,P_426548,2,58,0.00370624,P_373912,85,0.0032859,23,0.00627222,P_426548,2,102,0.00248478,P_373912,166,0.00212871,36,0.00426307,P_373912
P_10237,W_10237,12,1;4;5;21;53;76;350;430;518;630;797;3215,1,0.21276246886869196,P_59778,3,1,0.28776247,P_59778,1,0.28776247,1,0.28776247,P_59778,3,1,0.28776247,P_59778,1,0.28776247,1,0.28776247,P_59778,3,1,0.28776247,P_59778,1,0.28776247,1,0.28776247,P_59778,4,1,0.35522279,P_59778,1,0.35522279,1,0.35522279,P_59778,4,1,0.35522279,P_59778,1,0.35522279,1,0.35522279,P_59778,6,1,0.50744887,P_59778,1,0.50744887,1,0.50744887,P_59778,6,1,0.50744887,P_59778,1,0.50744887,1,0.50744887,P_78937,8,1,0.58793065,P_59778,1,0.59222022,1,0.66163922,P_78937
P_102396,W_31003,12,222;458;625;883;1192;1204;1247;1385;1516;3169;3799;5429,222,0.004413924077005607,P_495930,0,222,0.00441392,P_282759,222,0.00441392,222,0.00441392,P_282759,0,222,0.00441392,P_282759,222,0.00441392,222,0.00441392,P_282759,0,222,0.00441392,P_282759,222,0.00441392,222,0.00441392,P_282759,0,222,0.00441392,P_282759,222,0.00441392,222,0.00441392,P_27289,0,222,0.00441392,P_282759,222,0.00441392,222,0.00441392,P_27289,0,222,0.00441392,P_97359,222,0.00441392,222,0.00441392,P_97359,0,222,0.00441392,P_97359,222,0.00441392,222,0.00441392,P_97359,2,36,0.00907588,P_97359,23,0.0106992,1,0.08938893,P_115455
P_10242,W_10237,12,2;5;18;23;50;83;121;308;1102;1465;1602;1848,2,0.12708724696672688,P_306795,2,1,0.21875391,P_106062,1,0.21875391,1,0.21875391,P_106062,2,1,0.21875391,P_59778,1,0.21875391,1,0.21875391,P_106062,3,1,0.28819836,P_59778,1,0.28819836,1,0.28819836,P_106062,4,1,0.35703894,P_59778,1,0.35703894,1,0.35703894,P_106062,5,1,0.43203894,P_59778,1,0.43203894,1,0.39037227,P_106062,6,1,0.50934817,P_59778,1,0.50934817,1,0.42280971,P_106062,7,1,0.55313835,P_59778,1,0.5774439,1,0.46387067,P_106062,8,1,0.59460873,P_59778,1,0.62778361,1,0.53883934,P_106062
P_102435,W_9626,12,35;63;202;203;239;304;391;646;835;890;1153;3022,35,0.016778587112133748,P_295879,0,35,0.01677859,P_60216,35,0.01677859,35,0.01677859,P_680,0,35,0.01677859,P_22557,35,0.01677859,35,0.01677859,P_22557,0,35,0.01677859,P_22557,35,0.01677859,35,0.01677859,P_22557,0,35,0.01677859,P_22557,35,0.01677859,35,0.01677859,P_22557,1,28,0.01737383,P_22557,27,0.01748405,7,0.0263024,P_22557,2,54,0.01574632,P_22557,55,0.01575485,15,0.01991185,P_22557,2,99,0.01381937,P_22557,105,0.01376233,20,0.0173433,P_707306,7,195,0.0100339,P_707306,235,0.00989344,36,0.01305911,P_37956
P_102458,W_11817,12,33;91;315;608;699;780;814;968;1272;1331;1487;4318,33,0.010404857725464458,P_379424,0,33,0.01040486,P_333695,33,0.01040486,33,0.01040486,P_333695,0,33,0.01040486,P_183318,33,0.01040486,33,0.01040486,P_333695,0,33,0.01040486,P_183318,33,0.01040486,33,0.01040486,P_214473,0,33,0.01040486,P_204171,33,0.01040486,33,0.01040486,P_93656,1,10,0.01621294,P_204171,8,0.01829627,2,0.04954627,P_93656,2,9,0.02641847,P_204171,5,0.03553528,2,0.0810481,P_93656,2,12,0.02176448,P_204171,9,0.02324387,2,0.0810481,P_93656,3,18,0.01628618,P_204171,20,0.01438144,2,0.07812355,P_93656
P_102471,W_10717,12,7;8;71;164;166;181;436;621;2552;2652;5139;8017,7,0.04688689608107729,P_450398,0,7,0.0468869,P_491106,7,0.0468869,7,0.0468869,P_240197,2,3,0.07525991,P_240197,1,0.13081547,1,0.12525991,P_338634,2,4,0.06275991,P_271438,2,0.07962499,1,0.11831547,P_338634,2,5,0.04933399,P_53966,5,0.04748213,1,0.11137102,P_338634,2,6,0.0408582,P_53966,9,0.03531282,1,0.1078988,P_338634,3,10,0.04023294,P_386910,14,0.03368532,1,0.14524306,P_338634,6,3,0.11607714,P_386910,3,0.12172913,1,0.40064411,P_339414,7,4,0.07671083,P_386910,6,0.05842121,1,0.40780221,P_339414
