query_pid,query_wid,fold,p_no_cover_oof,y_no_cover
P_10408,W_5440,3,0.591726,1
P_104213,W_8202,2,0.158634,0
P_104226,W_2110,1,0.332531,0
P_104258,W_7776,3,0.518495,1
P_10428,W_10428,3,0.444512,0
P_104314,W_98770,4,0.62255,0
P_104315,W_4779,2,0.323758,0
P_104317,W_4646,3,0.747803,0
P_104320,W_20122,4,0.745967,0
P_104353,W_3221,0,0.600564,1
P_104354,W_6102,0,0.668681,0
P_104357,W_26939,0,0.716048,0
P_10436,W_2768,4,0.455975,0
P_104365,W_1055,2,0.279392,1
P_10437,W_2110,1,0.453664,0
P_10441,W_4945,3,0.218291,0
P_104429,W_9560,4,0.338313,1
P_104437,W_76174,2,0.68918,1
P_104513,W_2558,3,0.285301,1
P_10456,W_2976,2,0.416245,0
P_104604,W_11014,1,0.698689,1
P_104659,W_2673,1,0.518717,1
P_104683,W_19789,1,0.312307,0
P_104689,W_22556,4,0.354011,1
P_104716,W_27790,3,0.231131,0
P_104733,W_10237,3,0.247409,0
P_104734,W_3270,0,0.252751,1
P_10476,W_3964,1,0.352717,0
P_104780,W_5388,1,0.33763,0
P_104788,W_9560,4,0.381571,1
P_104791,W_7577,0,0.777772,1
P_10483,W_10472,0,0.092,0
P_104834,W_22581,3,0.142953,0
P_104838,W_1983,3,0.544446,1
P_104854,W_462,2,0.197606,0
P_10488,W_6616,4,0.126969,0
P_10492,W_6602,2,0.223831,0
P_10500,W_6676,3,0.173301,0
P_105004,W_24222,4,0.182268,0
P_105015,W_886,1,0.394175,0
P_105019,W_13440,2,0.331667,0
P_105030,W_34791,0,0.361016,0
P_10504,W_430,3,0.12522,0
P_105053,W_3063,0,0.532266,0
P_105082,W_8202,2,0.357302,1
P_105086,W_19955,2,0.65762,1
P_105107,W_2558,3,0.206771,1
P_105113,W_1454,0,0.278575,0
P_105142,W_97414,3,0.469877,0
P_105227,W_24473,2,0.101906,0
P_105231,W_148,4,0.645177,1
P_105233,W_97414,3,0.794164,0
P_10533,W_1130,2,0.73999,1
P_105417,W_3162,2,0.414865,0
P_105418,W_1282,2,0.606751,1
P_105420,W_15519,4,0.301469,0
P_105421,W_6437,3,0.152134,1
P_105424,W_2083,2,0.069058,0
P_105425,W_9133,4,0.180299,1
P_105434,W_20122,4,0.588688,1
P_105438,W_28687,0,0.295435,0
P_10546,W_625,0,0.691543,1
P_1055,W_1055,2,0.284354,0
P_105563,W_10581,3,0.735971,1
P_105702,W_47101,0,0.42726,0
P_105724,W_882,0,0.356594,0
P_105740,W_2768,4,0.579231,1
P_105746,W_8850,2,0.64585,0
P_105753,W_1812,4,0.177981,0
P_10577,W_10577,3,0.237912,0
P_10582,W_29380,0,0.689746,0
P_105840,W_87469,0,0.38148,0
P_105843,W_42934,3,0.686723,0
P_105885,W_5319,3,0.230867,0
P_105887,W_6549,2,0.261254,0
P_105890,W_5141,0,0.399528,0
P_10603,W_10603,4,0.52025,0
P_106062,W_10237,3,0.316526,0
P_106203,W_30552,2,0.267951,0
P_106207,W_27641,3,0.325901,0
P_10641,W_10641,3,0.554654,0
P_106560,W_82877,4,0.367862,1
P_10662,W_10526,0,0.304826,0
P_106674,W_932,4,0.617739,0
P_106678,W_1456,1,0.268384,1
P_106837,W_2696,3,0.331327,0
P_10685,W_10685,2,0.65415,0
P_106883,W_106883,4,0.459916,1
P_106922,W_52963,2,0.24956,0
P_106924,W_13208,1,0.063527,0
P_106946,W_6807,3,0.171768,0
P_106970,W_92417,1,0.654985,1
P_10717,W_10717,0,0.200411,0
P_107170,W_61207,0,0.659253,0
P_107205,W_40034,1,0.208953,1
P_107498,W_10577,3,0.267826,0
P_107502,W_10577,3,0.429714,1
P_107520,W_30668,4,0.780966,0
P_107524,W_19945,4,0.752717,1
P_107529,W_81722,2,0.734444,1
P_107531,W_7213,0,0.669347,1
P_107555,W_5231,0,0.554885,1
P_10758,W_2474,1,0.513548,1
P_107595,W_3928,4,0.025124,0
P_10761,W_4642,1,0.488361,1
P_10762,W_1305,2,0.111682,0
P_10766,W_4642,1,0.607004,1
P_10767,W_4642,1,0.211709,1
P_107684,W_9626,2,0.203664,0
P_107727,W_373,0,0.415927,1
P_10774,W_10528,3,0.534616,1
P_107781,W_46851,0,0.622887,0
P_10784,W_10781,0,0.598419,0
P_10785,W_10781,0,0.701334,1
P_107872,W_7550,2,0.106286,0
P_10788,W_10788,1,0.470731,0
P_10799,W_3552,4,0.787755,1
P_108072,W_35472,2,0.363832,0
P_108134,W_10154,4,0.2922,0
P_108135,W_47639,0,0.274801,0
P_108150,W_8202,2,0.036686,0
P_108182,W_10907,3,0.676412,0
P_108218,W_32595,1,0.152514,0
P_108237,W_53997,1,0.438683,1
P_108259,W_68472,3,0.756099,1
P_108282,W_29078,1,0.729365,0
P_108286,W_1378,4,0.672206,0
P_108327,W_5461,4,0.7461,1
P_108364,W_47639,0,0.316866,0
P_108372,W_10154,4,0.355223,0
P_108376,W_1278,0,0.029551,0
P_10838,W_10838,2,0.743784,1
P_108434,W_4916,0,0.639878,0
P_108449,W_5216,1,0.189807,0
P_108458,W_19748,1,0.478168,0
P_10846,W_10846,1,0.546271,1
P_108465,W_31003,3,0.10813,1
P_108473,W_101220,0,0.775326,1
P_108475,W_101220,0,0.680497,0
P_10848,W_10848,3,0.805159,0
P_10849,W_10849,2,0.64274,0
P_108509,W_14501,0,0.37142,0
P_108518,W_30209,0,0.270121,1
P_108526,W_39055,4,0.656177,1
P_108548,W_375,4,0.740329,1
P_108588,W_4244,4,0.365062,1
P_108686,W_20539,3,0.317214,0
P_108687,W_7580,4,0.590619,1
P_108690,W_98770,4,0.723531,1
P_108692,W_108692,1,0.675438,0
P_108693,W_25489,1,0.736952,1
P_108694,W_108692,1,0.533899,0
P_108697,W_4939,4,0.652403,0
P_108698,W_108692,1,0.64495,0
P_108700,W_108692,1,0.506231,0
P_108752,W_4755,3,0.085618,0
P_108867,W_98311,3,0.573966,1
P_108939,W_13549,0,0.616341,1
P_108951,W_32711,2,0.658819,1
P_10901,W_10901,2,0.638618,1
P_10902,W_10902,1,0.63848,0
P_10905,W_4829,4,0.655056,1
P_10907,W_10907,3,0.648198,1
P_109089,W_89492,2,0.4872,0
P_109122,W_109122,1,0.520794,1
P_109124,W_109122,1,0.72157,0
P_10913,W_10913,1,0.539382,1
P_109138,W_62475,2,0.122483,0
P_10914,W_10914,1,0.820402,1
P_109217,W_56781,0,0.229849,0
P_10932,W_10931,1,0.21915,1
P_109377,W_13691,1,0.560209,0
P_109386,W_28184,1,0.772075,1
P_109435,W_32531,0,0.04373,0
P_109440,W_2558,3,0.338928,0
P_109597,W_1894,0,0.140085,1
P_10964,W_6753,3,0.06618,0
P_109642,W_109642,2,0.47572,1
P_109643,W_109642,2,0.605259,1
P_109644,W_109642,2,0.59622,1
P_109646,W_109642,2,0.58874,1
P_109985,W_8872,4,0.207349,0
P_110044,W_2407,2,0.469914,0
P_11006,W_11006,2,0.716613,0
P_110123,W_102577,1,0.767871,1
P_110124,W_9665,2,0.699399,0
P_110128,W_40671,4,0.297486,1
P_110134,W_54466,2,0.550874,1
P_11014,W_11014,1,0.182718,0
P_110161,W_34086,3,0.063449,0
P_110236,W_26111,3,0.778786,0
P_110279,W_68472,3,0.240058,0
P_110345,W_627,2,0.642448,1
P_110384,W_10528,3,0.280928,1
P_110437,W_63101,3,0.726256,1
P_11045,W_4689,3,0.816075,1
P_11048,W_4689,3,0.657487,0
P_11051,W_11051,3,0.131023,0
P_11054,W_11054,3,0.260037,0
P_110549,W_2673,1,0.300369,0
P_11067,W_11054,3,0.253086,0
P_110726,W_26461,3,0.282624,1
P_110727,W_26461,3,0.285396,0
P_1108,W_1108,3,0.135524,0
P_1109,W_1108,3,0.447066,1
P_110919,W_35206,0,0.760071,0
P_110932,W_99743,2,0.689995,1
P_110956,W_11823,4,0.669671,1
P_11096,W_167,1,0.080406,0
P_110964,W_64593,1,0.802658,1
P_110965,W_13687,3,0.706867,1
P_111009,W_32062,0,0.177549,0
P_111106,W_9571,2,0.362568,1
P_111108,W_29299,0,0.577828,0
P_111226,W_6715,2,0.652802,0
P_111338,W_20120,1,0.668758,1
P_111341,W_28094,0,0.619872,1
P_111343,W_76498,4,0.629065,1
P_111432,W_642,3,0.030619,0
P_111666,W_111408,0,0.740574,1
P_111674,W_111408,0,0.754685,1
P_111734,W_9576,4,0.697066,0
P_111747,W_5958,0,0.463356,0
P_111763,W_11657,1,0.444365,1
P_111787,W_15521,2,0.55141,0
P_111932,W_111510,2,0.588307,0
P_111944,W_27790,3,0.24673,0
P_11197,W_6784,3,0.307418,0
P_112043,W_111535,0,0.144637,0
P_112044,W_111535,0,0.050843,0
P_11215,W_51980,1,0.646849,1
P_11221,W_272,0,0.021831,0
P_112288,W_111535,0,0.170591,0
P_11235,W_272,0,0.027351,0
P_112416,W_5515,3,0.209046,0
P_11242,W_272,0,0.151168,0
P_11243,W_272,0,0.040721,0
P_11246,W_272,0,0.080482,0
P_112482,W_9644,4,0.185181,0
P_11249,W_11249,0,0.255093,0
P_112523,W_32062,0,0.117386,0
P_112559,W_3266,0,0.716065,0
P_112560,W_111656,0,0.753551,1
P_112580,W_7247,2,0.386792,0
P_112613,W_111408,0,0.603864,0
P_112686,W_13208,1,0.191795,0
P_11275,W_272,0,0.088317,0
P_112944,W_20639,4,0.113973,0
P_113059,W_706,0,0.478892,0
P_113175,W_30246,1,0.238599,0
P_113226,W_3858,0,0.341789,0
P_113253,W_39520,2,0.206039,0
P_11333,W_961,0,0.144351,0
P_11334,W_1456,1,0.209373,0
P_113409,W_7489,0,0.345941,0
P_113472,W_22581,3,0.065004,0
P_11358,W_11358,1,0.622045,1
P_113609,W_20414,1,0.228592,1
P_11365,W_2658,1,0.726104,1
P_11366,W_5095,4,0.320618,0
P_113701,W_111854,2,0.658519,1
P_113702,W_111854,2,0.719615,1
P_113703,W_111854,2,0.780953,1
P_113704,W_111854,2,0.650416,1
P_113713,W_111854,2,0.712042,1
P_113724,W_954,4,0.074967,0
P_113964,W_111906,1,0.611362,1
P_113966,W_111906,1,0.679206,0
P_113976,W_52177,2,0.848345,0
P_114054,W_111906,1,0.784636,1
P_114055,W_20088,1,0.8069,1
P_114056,W_101220,0,0.653329,0
P_114057,W_4696,4,0.691617,0
P_114060,W_4810,1,0.69095,1
P_114061,W_7584,0,0.726722,0
P_114062,W_4814,4,0.78885,1
P_114063,W_11833,1,0.632505,1
P_114082,W_106883,4,0.696715,1
P_11411,W_1276,4,0.391671,0
P_114131,W_86795,4,0.767633,1
P_114132,W_86795,4,0.695528,1
P_114133,W_111906,1,0.774856,1
P_114153,W_111906,1,0.712625,1
P_114215,W_111952,3,0.638037,0
P_114217,W_111952,3,0.810729,0
P_114218,W_111952,3,0.715981,0
P_114228,W_111952,3,0.829757,1
P_1143,W_1143,1,0.140217,0
P_114331,W_1769,0,0.725753,0
P_114485,W_6616,4,0.032981,0
P_114486,W_430,3,0.255129,0
P_114490,W_6676,3,0.226255,0
P_114491,W_6602,2,0.243762,0
P_114525,W_10526,0,0.16749,0
P_114559,W_9576,4,0.545983,1
P_114587,W_27913,2,0.804253,1
P_114588,W_27913,2,0.743822,1
P_114590,W_27913,2,0.84594,0
P_114603,W_27913,2,0.794031,1
P_114605,W_9671,0,0.610815,1
P_114679,W_111991,0,0.504775,0
P_114680,W_111991,0,0.615519,0
P_114682,W_111991,0,0.390158,0
P_11471,W_11471,2,0.756642,1
P_11473,W_11473,3,0.606878,0
P_11485,W_11485,4,0.027589,0
P_11488,W_11485,4,0.05649,0
P_114908,W_2911,0,0.593664,0
P_114909,W_4820,4,0.625697,0
P_114927,W_112006,2,0.682753,1
P_114935,W_112006,2,0.686622,0
P_115006,W_112006,2,0.440111,1
P_115029,W_58781,1,0.421443,1
P_115030,W_65049,3,0.700403,0
P_115032,W_7581,1,0.562599,1
P_115033,W_25511,4,0.784156,0
P_115034,W_93655,0,0.376734,0
P_115055,W_40971,2,0.462828,1
P_115064,W_11472,4,0.782149,1
P_115080,W_112006,2,0.613418,1
P_115095,W_2427,4,0.482832,0
P_115096,W_10144,4,0.181426,1
P_115102,W_102577,1,0.661837,1
P_115133,W_11652,0,0.785361,1
P_115135,W_56239,3,0.749265,1
P_115137,W_11473,3,0.79363,1
P_115139,W_58781,1,0.819016,1
P_115142,W_22154,4,0.701233,1
P_115143,W_22154,4,0.509079,1
P_11516,W_11516,4,0.467549,0
P_115176,W_7202,3,0.519778,0
P_115177,W_5915,0,0.714146,1
P_115178,W_9290,4,0.540821,1
P_115179,W_27911,0,0.719414,1
P_115180,W_4687,2,0.645427,0
P_115182,W_76498,4,0.728637,1
P_115203,W_38517,4,0.533931,1
P_115210,W_1305,2,0.112812,1
P_115250,W_6693,0,0.170592,1
P_1153,W_1153,3,0.290271,0
P_115446,W_3237,4,0.41001,0
P_115455,W_31003,3,0.278161,1
P_115475,W_21352,3,0.543162,0
P_11552,W_11552,4,0.4339,0
P_115534,W_112097,3,0.655503,1
P_11554,W_11552,4,0.484269,0
P_115556,W_112097,3,0.752336,1
P_115612,W_7253,2,0.51507,1
P_115616,W_27164,2,0.6573,1
P_115829,W_26687,1,0.377367,0
P_116008,W_111656,0,0.673439,0
P_116022,W_59319,4,0.626121,1
P_116151,W_30668,4,0.709654,0
P_116159,W_4685,2,0.832338,1
P_116166,W_30668,4,0.58523,1
P_116172,W_13873,4,0.680567,1
P_116173,W_97632,1,0.742279,1
P_116175,W_5438,3,0.721868,1
P_116176,W_4689,3,0.803025,0
P_116183,W_23772,3,0.715622,1
P_116188,W_77841,3,0.660274,0
P_116190,W_25621,3,0.744214,1
P_116197,W_19748,1,0.606219,1
P_116200,W_30668,4,0.697156,0
P_116201,W_112097,3,0.731134,0
P_116220,W_56781,0,0.362613,0
P_116234,W_7581,1,0.54804,1
P_116238,W_38495,2,0.570598,1
P_116255,W_101220,0,0.628645,0
P_116259,W_9158,1,0.588631,1
P_116264,W_7584,0,0.759562,0
P_116273,W_20049,1,0.701805,1
P_116274,W_12795,0,0.649639,0
P_116281,W_706,0,0.568523,0
P_116320,W_106883,4,0.789075,1
P_116367,W_20257,1,0.526776,1
P_116418,W_12159,4,0.752952,1
P_116420,W_42997,4,0.682287,0
P_116432,W_1347,4,0.555673,1
P_116438,W_87425,0,0.58322,1
P_11649,W_11649,1,0.637845,1
P_116508,W_22965,1,0.714271,1
P_116543,W_22965,1,0.708905,1
P_116552,W_39785,4,0.604571,1
P_116624,W_112241,2,0.556251,1
P_116625,W_112241,2,0.74965,1
P_116630,W_35395,2,0.663844,1
P_116635,W_112241,2,0.691699,0
P_116636,W_112241,2,0.759065,1
P_116638,W_93655,0,0.525856,1
P_116640,W_112241,2,0.592632,0
P_116641,W_112241,2,0.727361,1
P_116653,W_112241,2,0.596282,1
P_11667,W_11667,3,0.547075,1
P_116742,W_9158,1,0.529817,0
P_116752,W_9297,4,0.526989,0
P_116768,W_20162,3,0.670857,1
P_116787,W_20414,1,0.33165,0
P_116816,W_1278,0,0.210083,1
P_116825,W_9133,4,0.034418,0
P_116835,W_15519,4,0.04113,0
P_116865,W_20122,4,0.649812,1
P_116877,W_5388,1,0.266975,0
P_116924,W_55442,0,0.275938,1
P_116990,W_706,0,0.336855,0
P_117093,W_4833,4,0.057295,0
P_117233,W_7312,2,0.609583,0
P_117235,W_2658,1,0.290999,0
P_117330,W_4642,1,0.061849,0
P_117823,W_401,2,0.192376,0
P_117844,W_7264,3,0.543516,1
P_117849,W_69914,4,0.758843,1
P_11785,W_11785,3,0.710197,0
P_11787,W_11785,3,0.3829,0
P_117885,W_161,2,0.222918,0
P_117925,W_20084,4,0.624693,1
P_117939,W_24473,2,0.478652,0
P_11794,W_11794,2,0.493323,1
P_11796,W_9376,4,0.555312,1
P_11798,W_11798,3,0.636677,1
P_11801,W_10528,3,0.343524,0
P_118037,W_19353,0,0.530694,0
P_118057,W_4820,4,0.600922,1
P_11806,W_3321,2,0.243788,0
P_118164,W_12140,0,0.531361,0
P_11817,W_11817,2,0.69084,1
P_11818,W_11817,2,0.810074,0
P_118180,W_22926,4,0.728069,0
P_118182,W_4829,4,0.701968,1
P_118184,W_4801,4,0.793043,0
P_118185,W_98152,3,0.662462,0
P_118186,W_19417,4,0.595321,1
P_118187,W_13540,3,0.772697,0
P_11819,W_11819,0,0.750035,1
P_11820,W_11819,0,0.398721,1
P_118204,W_9571,2,0.408935,0
P_11821,W_11819,0,0.567942,1
P_11823,W_11823,4,0.641154,1
P_11824,W_11823,4,0.648003,1
P_11837,W_9571,2,0.612437,1
P_118381,W_3904,1,0.778666,0
P_11841,W_11841,4,0.233027,0
P_118419,W_7762,4,0.703133,1
P_11842,W_11841,4,0.149176,0
P_118476,W_20049,1,0.496858,1
P_118586,W_375,4,0.308267,1
P_118603,W_20088,1,0.700129,1
P_118604,W_31725,2,0.565154,1
P_118672,W_12255,4,0.729148,1
P_11871,W_1409,4,0.155404,0
P_118729,W_35389,4,0.744349,0
P_118730,W_7581,1,0.726863,0
P_11874,W_6093,0,0.099611,0
P_118763,W_4681,1,0.163739,1
P_118772,W_35389,4,0.739604,1
P_118773,W_34604,1,0.752911,1
P_118774,W_4685,2,0.653535,0
P_118776,W_101001,4,0.677126,1
P_118801,W_50379,1,0.749943,1
P_118879,W_12542,1,0.192779,0
P_11889,W_1130,2,0.688496,1
P_118905,W_112640,1,0.13689,0
P_118912,W_112640,1,0.228901,0
P_118916,W_28687,0,0.275198,1
P_118921,W_112640,1,0.164687,0
P_11898,W_11898,0,0.26999,0
P_11900,W_11898,0,0.453841,0
P_11902,W_10526,0,0.334328,0
P_119041,W_8696,0,0.150458,1
P_11905,W_11898,0,0.541483,0
P_119239,W_3744,2,0.636445,0
P_119242,W_10253,3,0.399291,0
P_119272,W_11387,1,0.206205,0
P_11928,W_48,0,0.215592,1
P_119303,W_731,2,0.647743,1
P_119313,W_79329,3,0.765853,1
P_11936,W_303,3,0.155964,0
P_119455,W_373,0,0.249035,0
P_119457,W_7312,2,0.417649,1
P_11953,W_954,4,0.183143,0
P_119553,W_86795,4,0.741977,1
P_119555,W_42488,0,0.538447,0
P_119560,W_11006,2,0.684804,0
P_119561,W_11006,2,0.618778,0
P_119562,W_11006,2,0.763004,1
P_119568,W_2968,4,0.766695,1
P_119569,W_82985,4,0.668323,1
P_119577,W_11474,2,0.586376,0
P_11958,W_954,4,0.217586,0
P_119585,W_13208,1,0.123374,0
P_11959,W_954,4,0.567133,0
P_119683,W_383,3,0.307411,1
P_119701,W_2658,1,0.537271,1
P_119706,W_6102,0,0.364285,0
P_119727,W_20610,2,0.097805,0
P_119734,W_4749,1,0.27711,0
P_119766,W_40971,2,0.608716,1
P_119767,W_40971,2,0.580571,0
P_119768,W_40971,2,0.603476,0
P_119777,W_3497,1,0.718094,1
P_119840,W_30552,2,0.75676,1
P_119866,W_8872,4,0.079726,0
P_11990,W_10528,3,0.083584,1
P_119937,W_11535,0,0.804186,1
P_11997,W_954,4,0.430452,0
P_11998,W_954,4,0.303031,1
P_120078,W_4884,3,0.71653,1
P_12017,W_5958,0,0.142307,0
P_120174,W_11785,3,0.488987,0
P_12018,W_623,4,0.491809,1
P_12021,W_48,0,0.274536,0
P_12022,W_48,0,0.518434,1
P_12024,W_1456,1,0.088945,0
P_120303,W_13208,1,0.061691,0
P_120309,W_9576,4,0.874075,1
P_12031,W_12031,1,0.707458,1
P_120310,W_11474,2,0.683673,1
P_120324,W_42488,0,0.442824,0
P_120330,W_112910,4,0.560258,0
P_120331,W_112910,4,0.60733,1
P_120333,W_112910,4,0.586029,0
P_120334,W_18505,1,0.6165,0
P_120336,W_112910,4,0.732658,0
P_120337,W_112910,4,0.656484,0
P_120352,W_28495,3,0.70372,1
P_120356,W_8203,4,0.727089,1
P_12037,W_9507,1,0.274412,0
P_120419,W_10907,3,0.472108,0
P_12043,W_4354,3,0.254653,0
P_120442,W_4843,1,0.787174,1
P_120523,W_38476,0,0.213362,1
P_120528,W_5697,2,0.159278,0
P_12053,W_5368,3,0.265138,1
P_12058,W_961,0,0.261762,0
P_120600,W_932,4,0.167684,1
P_120628,W_4887,1,0.668978,1
P_120649,W_1443,0,0.189629,0
P_120652,W_4751,3,0.499631,0
P_120661,W_109122,1,0.616281,0
P_120709,W_367,1,0.296489,0
P_120946,W_28221,2,0.66219,1
P_121047,W_4692,0,0.69206,0
P_121048,W_1650,3,0.443421,0
P_121064,W_9004,2,0.261248,0
P_121202,W_2930,3,0.382335,0
P_121203,W_961,0,0.180209,0
P_121206,W_1478,1,0.251472,0
P_121297,W_97414,3,0.542231,0
P_121338,W_4277,0,0.04645,0
P_121348,W_2083,2,0.403032,0
P_12135,W_12135,4,0.530214,1
P_121389,W_102577,1,0.815616,1
P_12140,W_12140,0,0.422413,1
P_121402,W_4812,1,0.726081,0
P_121424,W_15521,2,0.445127,1
P_121427,W_14501,0,0.071854,0
P_121428,W_4775,3,0.432693,0
P_121429,W_12972,4,0.62741,0
P_121488,W_10848,3,0.700378,1
P_121498,W_11667,3,0.435798,1
P_121500,W_102577,1,0.747536,1
P_121547,W_2855,4,0.769495,0
P_121599,W_19912,3,0.588567,1
P_12168,W_12168,0,0.13022,0
P_12179,W_4217,3,0.649327,1
P_12180,W_5500,4,0.557558,1
P_121803,W_112241,2,0.503084,0
P_12182,W_3270,0,0.711526,1
P_121822,W_4683,2,0.630632,1
P_121823,W_5438,3,0.771257,0
P_121824,W_4683,2,0.642062,1
P_121851,W_3839,2,0.578097,0
P_121871,W_12317,3,0.739612,0
P_121989,W_38429,4,0.797181,0
P_122011,W_19903,3,0.142294,0
P_122031,W_42117,0,0.374169,0
P_122038,W_30209,0,0.65986,0
P_122096,W_4865,4,0.491133,1
P_122162,W_31327,2,0.496845,0
P_122231,W_373,0,0.456535,0
P_122263,W_11652,0,0.742691,1
P_122300,W_4829,4,0.764869,1
P_122303,W_9703,3,0.646783,1
P_122353,W_575,4,0.324527,1
P_122484,W_15521,2,0.31116,0
P_122525,W_1002,3,0.13502,0
P_122530,W_10428,3,0.277789,0
P_122534,W_11898,0,0.33814,0
P_12255,W_12255,4,0.728531,0
P_122588,W_111535,0,0.080111,0
P_122654,W_3928,4,0.027076,0
P_122676,W_16560,3,0.19571,0
P_12269,W_886,1,0.509709,1
P_12270,W_932,4,0.306008,0
P_122902,W_6210,3,0.560534,1
P_122916,W_35395,2,0.27856,1
P_122933,W_83873,2,0.386587,0
P_122934,W_83881,4,0.511182,0
P_122935,W_83871,4,0.315701,0
P_12317,W_12317,3,0.639337,0
P_123187,W_23239,4,0.787223,1
P_123223,W_1812,4,0.274637,0
P_123481,W_799,4,0.120382,0
P_124019,W_11841,4,0.258256,0
P_124036,W_83881,4,0.511182,0
P_124040,W_13127,4,0.371865,0
P_12406,W_642,3,0.034072,0
P_124071,W_13208,1,0.156778,1
P_124173,W_32058,1,0.180132,0
P_12429,W_3673,0,0.263265,1
P_12433,W_12168,0,0.239808,0
P_124468,W_9133,4,0.049078,0
P_124470,W_1409,4,0.137017,0
P_124516,W_12992,4,0.128278,0
P_124579,W_21013,2,0.572795,0
P_12460,W_12460,1,0.246565,0
P_124644,W_34086,3,0.064893,0
P_124661,W_3321,2,0.518069,1
P_124676,W_3321,2,0.34343,0
P_124681,W_3321,2,0.606044,1
P_12470,W_886,1,0.782196,1
P_12476,W_10685,2,0.466335,0
P_12478,W_10790,1,0.137638,0
P_12484,W_26,3,0.312541,0
P_12486,W_4749,1,0.133796,0
P_124892,W_679,2,0.175192,0
P_124895,W_1282,2,0.44898,0
P_124896,W_2393,1,0.237336,0
P_125119,W_34791,0,0.459973,1
P_125122,W_1894,0,0.123005,0
P_125125,W_113615,4,0.048409,0
P_125330,W_13875,4,0.685337,1
P_125333,W_25511,4,0.709375,1
P_125339,W_6031,2,0.369478,0
P_12545,W_12542,1,0.165384,0
P_12547,W_12542,1,0.139279,0
P_12548,W_12542,1,0.049281,0
P_125846,W_113724,0,0.057695,0
P_125847,W_113724,0,0.284656,1
P_126067,W_1650,3,0.074157,0
P_12611,W_3978,1,0.096449,1
P_12618,W_4922,0,0.201694,0
P_126221,W_13552,4,0.613213,0
P_126241,W_19985,2,0.471913,0
