pid,wid,role
P_306049,W_136494,validation
P_309278,W_6496,validation
P_31491,W_31490,validation
P_317849,W_138155,validation
P_317859,W_138155,validation
P_32027,W_32027,validation
P_32028,W_32027,validation
P_322348,W_15322,validation
P_334252,W_83029,validation
P_33607,W_33607,validation
P_346926,W_112677,validation
P_347060,W_45010,validation
P_348253,W_142055,validation
P_348255,W_142055,validation
P_348453,W_142089,validation
P_348454,W_142089,validation
P_349459,W_20683,validation
P_355091,W_143082,calibration
P_355092,W_143082,calibration
P_355374,W_8760,calibration
P_356131,W_143269,validation
P_356132,W_143269,validation
P_358462,W_115629,validation
P_363307,W_45391,validation
P_364120,W_144350,validation
P_365423,W_144511,validation
P_365877,W_144551,validation
P_365878,W_144551,validation
P_368077,W_144927,validation
P_368091,W_144927,validation
P_368862,W_145076,validation
P_368863,W_145076,validation
P_36889,W_33607,validation
P_373176,W_78577,validation
P_379508,W_122327,validation
P_380812,W_13524,validation
P_380842,W_146868,validation
P_380843,W_146868,validation
P_381228,W_89909,validation
P_38140,W_38140,validation
P_3822,W_3821,validation
P_396226,W_148950,validation
P_396228,W_148950,validation
P_396765,W_149012,validation
P_396766,W_149012,validation
P_399233,W_136401,validation
P_402053,W_102490,validation
P_407489,W_149777,validation
P_407492,W_149777,validation
P_409754,W_2236,validation
P_411978,W_4320,validation
P_423626,W_49591,validation
P_434249,W_151722,validation
P_437680,W_151997,validation
P_437757,W_151997,validation
P_439575,W_118340,validation
P_445504,W_94280,validation
P_448178,W_152822,validation
P_448179,W_152822,validation
P_449118,W_119983,validation
P_451737,W_153101,validation
P_452608,W_153101,validation
P_453413,W_153213,validation
P_453466,W_153213,validation
P_45391,W_45391,validation
P_459375,W_122008,validation
P_461450,W_153913,validation
P_469893,W_60885,validation
P_475255,W_45010,validation
P_476324,W_128759,calibration
P_477072,W_20314,validation
P_480274,W_60885,validation
P_49592,W_49591,validation
P_500586,W_158202,validation
P_500597,W_158202,validation
P_508802,W_159098,validation
P_510723,W_10868,calibration
P_511095,W_159320,validation
P_511096,W_159320,validation
P_511254,W_159339,validation
P_511271,W_159339,validation
P_512189,W_159462,calibration
P_512190,W_159462,calibration
P_512717,W_117514,validation
P_518131,W_111345,validation
P_523703,W_160998,validation
P_525135,W_160998,validation
P_529022,W_76778,validation
P_529479,W_105295,validation
P_530505,W_161904,calibration
P_53058,W_53057,validation
P_53187,W_53186,validation
P_53190,W_53186,validation
P_532230,W_162089,validation
P_53610,W_53057,validation
P_540010,W_38140,validation
P_542507,W_122327,validation
P_543911,W_163575,validation
P_544117,W_163575,validation
P_54460,W_54460,validation
P_547455,W_4320,validation
P_547995,W_164112,validation
P_547997,W_164112,validation
P_54802,W_13093,validation
P_548428,W_164136,validation
P_550203,W_164338,validation
P_550204,W_164338,validation
P_550963,W_134440,validation
P_55345,W_55345,validation
P_555185,W_143731,validation
P_562173,W_144511,validation
P_562907,W_165819,validation
P_562908,W_165819,validation
P_564834,W_166041,validation
P_564836,W_166041,validation
P_565570,W_166202,calibration
P_565591,W_166202,calibration
P_568607,W_162089,validation
P_575250,W_84593,validation
P_577756,W_167932,validation
P_577757,W_167932,validation
P_580132,W_168343,validation
P_580135,W_168343,validation
P_590297,W_16690,validation
P_599275,W_161904,calibration
P_601793,W_151722,validation
P_607555,W_172989,validation
P_607556,W_172989,validation
P_608444,W_173158,validation
P_609528,W_6496,validation
P_611665,W_124878,validation
P_611803,W_173613,validation
P_611804,W_173613,validation
P_613045,W_144350,validation
P_621702,W_657,validation
P_634300,W_176657,validation
P_635063,W_176657,validation
P_637814,W_177054,calibration
P_646336,W_178062,validation
P_646347,W_178062,validation
P_64771,W_20683,validation
P_649137,W_657,validation
P_653283,W_136401,validation
P_660895,W_180082,validation
P_660896,W_180082,validation
P_665410,W_180542,validation
P_665420,W_180542,validation
P_669260,W_177054,calibration
P_674513,W_143731,validation
P_683323,W_183109,validation
P_687669,W_183973,validation
P_687670,W_183973,validation
P_689064,W_184246,validation
P_697617,W_186149,validation
P_697619,W_186149,validation
P_699096,W_8760,calibration
P_701783,W_186963,validation
P_701785,W_186963,validation
P_705205,W_187689,validation
P_705206,W_187689,validation
P_706741,W_124200,validation
P_707217,W_28450,validation
P_707599,W_188196,validation
P_707600,W_188196,validation
P_707779,W_188235,validation
P_707788,W_188235,validation
P_711044,W_184246,validation
P_711907,W_120888,validation
P_718190,W_159098,validation
P_718356,W_190116,validation
P_718357,W_190116,validation
P_719142,W_190299,validation
P_719143,W_190299,validation
P_719271,W_190349,validation
P_719603,W_190349,validation
P_720493,W_190669,validation
P_720673,W_190669,validation
P_721899,W_190870,validation
P_721900,W_190870,validation
P_727385,W_37233,validation
P_72854,W_72854,validation
P_731243,W_192916,validation
P_731244,W_192916,validation
P_732971,W_193238,calibration
P_73447,W_37233,validation
P_738612,W_193238,calibration
P_738685,W_111345,validation
P_739087,W_194622,validation
P_739088,W_194622,validation
P_742181,W_195260,validation
P_742208,W_195260,validation
P_749411,W_196429,validation
P_749413,W_196429,validation
P_751378,W_196666,validation
P_751379,W_196666,validation
P_75144,W_75143,validation
P_752549,W_111444,validation
P_752797,W_127594,validation
P_755480,W_164136,validation
P_764190,W_183109,validation
P_769124,W_198943,validation
P_769125,W_198943,validation
P_770418,W_113183,validation
P_771592,W_111444,validation
P_771789,W_199298,validation
P_771790,W_199298,validation
P_77960,W_10868,calibration
P_781221,W_26614,validation
P_781917,W_73781,validation
P_78274,W_31490,validation
P_782838,W_200884,validation
P_782839,W_200884,validation
P_78570,W_78570,validation
P_788118,W_15322,validation
P_788133,W_201618,validation
P_788134,W_201618,validation
P_789768,W_153913,validation
P_792473,W_202175,validation
P_792474,W_202175,validation
P_797855,W_73781,validation
P_799230,W_203391,validation
P_799232,W_203391,validation
P_83030,W_83029,validation
P_84594,W_84593,validation
P_86227,W_55345,validation
P_88410,W_88410,validation
P_88411,W_88410,validation
P_89674,W_35540,validation
P_91885,W_91884,validation
P_92607,W_78577,validation
P_93389,W_93389,validation
P_94280,W_94280,validation
P_98874,W_105959,validation
