wid,pid,role
W_156986,P_486883,distractor
W_158622,P_504788,distractor
W_158622,P_780573,distractor
W_16372,P_108803,distractor
W_16372,P_443951,distractor
W_16487,P_16487,distractor
W_16487,P_16488,distractor
W_170983,P_595652,distractor
W_170983,P_636706,distractor
W_178859,P_652173,distractor
W_178859,P_652178,distractor
W_179146,P_653987,distractor
W_179146,P_653992,distractor
W_181432,P_671036,distractor
W_181432,P_671067,distractor
W_183759,P_686529,distractor
W_183759,P_686530,distractor
W_185884,P_711781,distractor
W_185884,P_711783,distractor
W_194735,P_739365,distractor
W_194735,P_743653,distractor
W_197450,P_757572,distractor
W_197450,P_757574,distractor
W_200960,P_791187,distractor
W_200960,P_791203,distractor
W_201167,P_784883,distractor
W_201167,P_785082,distractor
W_29271,P_29271,distractor
W_29271,P_323950,distractor
W_31054,P_31054,distractor
W_31054,P_31055,distractor
W_32387,P_179646,distractor
W_32387,P_348463,distractor
W_35057,P_35057,distractor
W_35057,P_396443,distractor
W_51181,P_72336,distractor
W_51181,P_77179,distractor
W_68546,P_423119,distractor
W_68546,P_68546,distractor
W_102490,P_102490,validation
W_102490,P_402053,validation
W_105295,P_105295,validation
W_105295,P_529479,validation
W_105959,P_105959,validation
W_105959,P_98874,validation
W_111345,P_518131,validation
W_111345,P_738685,validation
W_111444,P_752549,validation
W_111444,P_771592,validation
W_112677,P_214555,validation
W_112677,P_346926,validation
W_113183,P_122460,validation
W_113183,P_770418,validation
W_115629,P_140033,validation
W_115629,P_358462,validation
W_117316,P_151192,validation
W_117316,P_151193,validation
W_117514,P_153182,validation
W_117514,P_512717,validation
W_118340,P_159879,validation
W_118340,P_439575,validation
W_119983,P_170210,validation
W_119983,P_449118,validation
W_120888,P_177203,validation
W_120888,P_711907,validation
W_122008,P_188992,validation
W_122008,P_459375,validation
W_122315,P_192208,validation
W_122315,P_192331,validation
W_122327,P_379508,validation
W_122327,P_542507,validation
W_124200,P_281571,validation
W_124200,P_706741,validation
W_124490,P_213620,validation
W_124490,P_213631,validation
W_124878,P_216691,validation
W_124878,P_611665,validation
W_127205,P_231490,validation
W_127205,P_231503,validation
W_127594,P_236005,validation
W_127594,P_752797,validation
W_129447,P_247225,validation
W_129447,P_247236,validation
W_13093,P_13093,validation
W_13093,P_54802,validation
W_131527,P_263867,validation
W_131527,P_296197,validation
W_132291,P_268732,validation
W_132291,P_268741,validation
W_133055,P_273922,validation
W_133055,P_273923,validation
W_133731,P_279467,validation
W_133731,P_279468,validation
W_133773,P_279887,validation
W_133773,P_279888,validation
W_134440,P_286678,validation
W_134440,P_550963,validation
W_13524,P_13524,validation
W_13524,P_380812,validation
W_135293,P_293947,validation
W_135293,P_293949,validation
W_135509,P_295681,validation
W_135509,P_295682,validation
W_136401,P_399233,validation
W_136401,P_653283,validation
W_136494,P_306043,validation
W_136494,P_306049,validation
W_138155,P_317849,validation
W_138155,P_317859,validation
W_142055,P_348253,validation
W_142055,P_348255,validation
W_142089,P_348453,validation
W_142089,P_348454,validation
W_143269,P_356131,validation
W_143269,P_356132,validation
W_143731,P_555185,validation
W_143731,P_674513,validation
W_144350,P_364120,validation
W_144350,P_613045,validation
W_144511,P_365423,validation
W_144511,P_562173,validation
W_144551,P_365877,validation
W_144551,P_365878,validation
W_144927,P_368077,validation
W_144927,P_368091,validation
W_145076,P_368862,validation
W_145076,P_368863,validation
W_146868,P_380842,validation
W_146868,P_380843,validation
W_148950,P_396226,validation
W_148950,P_396228,validation
W_149012,P_396765,validation
W_149012,P_396766,validation
W_149777,P_407489,validation
W_149777,P_407492,validation
W_151722,P_434249,validation
W_151722,P_601793,validation
W_151997,P_437680,validation
W_151997,P_437757,validation
W_152822,P_448178,validation
W_152822,P_448179,validation
W_153101,P_451737,validation
W_153101,P_452608,validation
W_153213,P_453413,validation
W_153213,P_453466,validation
W_15322,P_322348,validation
W_15322,P_788118,validation
W_153913,P_461450,validation
W_153913,P_789768,validation
W_158202,P_500586,validation
W_158202,P_500597,validation
W_159098,P_508802,validation
W_159098,P_718190,validation
W_159320,P_511095,validation
W_159320,P_511096,validation
W_159339,P_511254,validation
W_159339,P_511271,validation
W_160998,P_523703,validation
W_160998,P_525135,validation
W_162089,P_532230,validation
W_162089,P_568607,validation
W_163575,P_543911,validation
W_163575,P_544117,validation
W_164112,P_547995,validation
W_164112,P_547997,validation
W_164136,P_548428,validation
W_164136,P_755480,validation
W_164338,P_550203,validation
W_164338,P_550204,validation
W_165819,P_562907,validation
W_165819,P_562908,validation
W_166041,P_564834,validation
W_166041,P_564836,validation
W_16690,P_16690,validation
W_16690,P_590297,validation
W_167932,P_577756,validation
W_167932,P_577757,validation
W_168343,P_580132,validation
W_168343,P_580135,validation
W_172989,P_607555,validation
W_172989,P_607556,validation
W_173158,P_245898,validation
W_173158,P_608444,validation
W_173613,P_611803,validation
W_173613,P_611804,validation
W_176657,P_634300,validation
W_176657,P_635063,validation
W_178062,P_646336,validation
W_178062,P_646347,validation
W_180082,P_660895,validation
W_180082,P_660896,validation
W_180542,P_665410,validation
W_180542,P_665420,validation
W_183109,P_683323,validation
W_183109,P_764190,validation
W_183973,P_687669,validation
W_183973,P_687670,validation
W_184246,P_689064,validation
W_184246,P_711044,validation
W_186149,P_697617,validation
W_186149,P_697619,validation
W_186963,P_701783,validation
W_186963,P_701785,validation
W_187689,P_705205,validation
W_187689,P_705206,validation
W_188196,P_707599,validation
W_188196,P_707600,validation
W_188235,P_707779,validation
W_188235,P_707788,validation
W_190116,P_718356,validation
W_190116,P_718357,validation
W_190299,P_719142,validation
W_190299,P_719143,validation
W_190349,P_719271,validation
W_190349,P_719603,validation
W_190669,P_720493,validation
W_190669,P_720673,validation
W_190870,P_721899,validation
W_190870,P_721900,validation
W_192916,P_731243,validation
W_192916,P_731244,validation
W_194622,P_739087,validation
W_194622,P_739088,validation
W_1952,P_1952,validation
W_1952,P_1953,validation
W_195260,P_742181,validation
W_195260,P_742208,validation
W_196429,P_749411,validation
W_196429,P_749413,validation
W_196666,P_751378,validation
W_196666,P_751379,validation
W_198943,P_769124,validation
W_198943,P_769125,validation
W_199298,P_771789,validation
W_199298,P_771790,validation
W_200884,P_782838,validation
W_200884,P_782839,validation
W_201618,P_788133,validation
W_201618,P_788134,validation
W_202175,P_792473,validation
W_202175,P_792474,validation
W_20314,P_20318,validation
W_20314,P_477072,validation
W_203391,P_799230,validation
W_203391,P_799232,validation
W_20574,P_106310,validation
W_20574,P_108124,validation
W_20683,P_349459,validation
W_20683,P_64771,validation
W_2133,P_2133,validation
W_2133,P_2134,validation
W_2236,P_2237,validation
W_2236,P_409754,validation
W_22605,P_218363,validation
W_22605,P_22606,validation
W_23390,P_23396,validation
W_23390,P_247750,validation
W_26614,P_26614,validation
W_26614,P_781221,validation
W_27871,P_153370,validation
W_27871,P_216545,validation
W_28450,P_28451,validation
W_28450,P_707217,validation
W_28987,P_210664,validation
W_28987,P_300523,validation
W_29963,P_270325,validation
W_29963,P_29964,validation
W_30018,P_30018,validation
W_30018,P_30019,validation
W_31490,P_31491,validation
W_31490,P_78274,validation
W_32027,P_32027,validation
W_32027,P_32028,validation
W_33607,P_33607,validation
W_33607,P_36889,validation
W_35540,P_150272,validation
W_35540,P_89674,validation
W_37082,P_107068,validation
W_37082,P_270549,validation
W_37233,P_727385,validation
W_37233,P_73447,validation
W_38140,P_38140,validation
W_38140,P_540010,validation
W_3821,P_183893,validation
W_3821,P_3822,validation
W_4320,P_411978,validation
W_4320,P_547455,validation
W_45010,P_347060,validation
W_45010,P_475255,validation
W_45391,P_363307,validation
W_45391,P_45391,validation
W_49591,P_423626,validation
W_49591,P_49592,validation
W_53057,P_53058,validation
W_53057,P_53610,validation
W_53186,P_53187,validation
W_53186,P_53190,validation
W_54460,P_116769,validation
W_54460,P_54460,validation
W_55345,P_55345,validation
W_55345,P_86227,validation
W_60885,P_469893,validation
W_60885,P_480274,validation
W_6496,P_309278,validation
W_6496,P_609528,validation
W_6524,P_142186,validation
W_6524,P_192119,validation
W_657,P_621702,validation
W_657,P_649137,validation
W_72854,P_152476,validation
W_72854,P_72854,validation
W_7368,P_121294,validation
W_7368,P_173333,validation
W_73781,P_781917,validation
W_73781,P_797855,validation
W_75143,P_173533,validation
W_75143,P_75144,validation
W_76778,P_251897,validation
W_76778,P_529022,validation
W_78570,P_114206,validation
W_78570,P_78570,validation
W_78577,P_373176,validation
W_78577,P_92607,validation
W_80259,P_116817,validation
W_80259,P_122245,validation
W_83029,P_334252,validation
W_83029,P_83030,validation
W_84593,P_575250,validation
W_84593,P_84594,validation
W_88410,P_88410,validation
W_88410,P_88411,validation
W_89909,P_162747,validation
W_89909,P_381228,validation
W_91884,P_175951,validation
W_91884,P_91885,validation
W_93389,P_267925,validation
W_93389,P_93389,validation
W_94280,P_445504,validation
W_94280,P_94280,validation
W_100010,P_100010,train
W_100010,P_635286,train
W_100027,P_100027,train
W_100027,P_100028,train
W_100108,P_190628,train
W_100108,P_646934,train
W_100147,P_505895,train
W_100147,P_784208,train
W_100158,P_100158,train
W_100158,P_297976,train
W_100202,P_100203,train
W_100202,P_411537,train
W_100235,P_100235,train
W_100235,P_137635,train
W_100383,P_640710,train
W_100383,P_714345,train
W_10042,P_141482,train
W_10042,P_646393,train
W_100466,P_262955,train
W_100466,P_486727,train
W_100672,P_201600,train
W_100672,P_439413,train
W_100698,P_100698,train
W_100698,P_671221,train
W_100961,P_100961,train
W_100961,P_475786,train
W_101010,P_263395,train
W_101010,P_618946,train
W_101035,P_419326,train
W_101035,P_716905,train
W_101059,P_101059,train
W_101059,P_183808,train
W_101069,P_101069,train
W_101069,P_101070,train
W_101193,P_101193,train
W_101193,P_345283,train
W_101331,P_101331,train
W_101331,P_101333,train
W_10145,P_149638,train
W_10145,P_631454,train
W_101464,P_101465,train
W_101464,P_591892,train
W_101628,P_101629,train
W_101628,P_361929,train
W_10178,P_290228,train
W_10178,P_496402,train
W_10181,P_10181,train
W_10181,P_330853,train
W_101890,P_101890,train
W_101890,P_747055,train
W_101988,P_476431,train
W_101988,P_699862,train
W_102094,P_102105,train
W_102094,P_648542,train
W_10218,P_108351,train
W_10218,P_34629,train
W_102298,P_102298,train
W_102298,P_102299,train
W_10235,P_299505,train
W_10235,P_798895,train
W_102465,P_102488,train
W_102465,P_207755,train
W_102506,P_102506,train
W_102506,P_505525,train
W_102527,P_102528,train
W_102527,P_413886,train
W_102643,P_102643,train
W_102643,P_495179,train
W_10267,P_10271,train
W_10267,P_157367,train
W_102758,P_102758,train
W_102758,P_102765,train
W_102852,P_322468,train
W_102852,P_782594,train
W_10291,P_10291,train
W_10291,P_571968,train
W_10339,P_10339,train
W_10339,P_38201,train
W_103399,P_103399,train
W_103399,P_413890,train
W_103466,P_108491,train
W_103466,P_618101,train
W_10349,P_10349,train
W_10349,P_10365,train
W_10377,P_375077,train
W_10377,P_724847,train
W_104029,P_104029,train
W_104029,P_618072,train
W_104107,P_104107,train
W_104107,P_181457,train
W_104494,P_297705,train
W_104494,P_752574,train
W_104641,P_117780,train
W_104641,P_123894,train
W_1048,P_399010,train
W_1048,P_566564,train
W_10494,P_251566,train
W_10494,P_254459,train
W_104951,P_104951,train
W_104951,P_574360,train
W_10502,P_26625,train
W_10502,P_717156,train
W_105200,P_105200,train
W_105200,P_117175,train
W_105215,P_354263,train
W_105215,P_449254,train
W_10525,P_25394,train
W_10525,P_389042,train
W_105308,P_388715,train
W_105308,P_738950,train
W_105312,P_227249,train
W_105312,P_649355,train
W_105475,P_105475,train
W_105475,P_413535,train
W_105595,P_198383,train
W_105595,P_482667,train
W_1057,P_177403,train
W_1057,P_181446,train
W_105766,P_309321,train
W_105766,P_665413,train
W_105818,P_156676,train
W_105818,P_415220,train
W_106252,P_106252,train
W_106252,P_517490,train
W_10665,P_219626,train
W_10665,P_32351,train
W_106730,P_106732,train
W_106730,P_624943,train
W_106737,P_106737,train
W_106737,P_640182,train
W_106760,P_106760,train
W_106760,P_106820,train
W_106848,P_106849,train
W_106848,P_692888,train
W_106861,P_106861,train
W_106861,P_124068,train
W_107013,P_221554,train
W_107013,P_666359,train
W_107130,P_139790,train
W_107130,P_701987,train
W_107149,P_113219,train
W_107149,P_752575,train
W_107243,P_107243,train
W_107243,P_533662,train
W_107339,P_433657,train
W_107339,P_551150,train
W_1074,P_180797,train
W_1074,P_745546,train
W_107459,P_391765,train
W_107459,P_511212,train
W_107547,P_107548,train
W_107547,P_470653,train
W_107636,P_107636,train
W_107636,P_649721,train
W_10770,P_10770,train
W_10770,P_309604,train
W_107703,P_637015,train
W_107703,P_732284,train
W_107807,P_107807,train
W_107807,P_745671,train
W_107922,P_107922,train
W_107922,P_364215,train
W_108094,P_108094,train
W_108094,P_393574,train
W_108357,P_261179,train
W_108357,P_609880,train
W_108453,P_364954,train
W_108453,P_389743,train
W_108483,P_652786,train
W_108483,P_657873,train
W_108581,P_108581,train
W_108581,P_374633,train
W_10879,P_130461,train
W_10879,P_235698,train
W_108819,P_366414,train
W_108819,P_496170,train
W_10894,P_181092,train
W_10894,P_464248,train
W_10895,P_268228,train
W_10895,P_468145,train
W_109243,P_109243,train
W_109243,P_287196,train
W_109319,P_109319,train
W_109319,P_543097,train
W_109456,P_183730,train
W_109456,P_524544,train
W_10947,P_10947,train
W_10947,P_259655,train
W_109485,P_109485,train
W_109485,P_715985,train
W_10950,P_10950,train
W_10950,P_460787,train
W_109709,P_109715,train
W_109709,P_794283,train
W_109792,P_109792,train
W_109792,P_227690,train
W_110000,P_110000,train
W_110000,P_288415,train
W_11008,P_291975,train
W_11008,P_411076,train
W_11012,P_304917,train
W_11012,P_747171,train
W_110294,P_110294,train
W_110294,P_645678,train
W_110328,P_583506,train
W_110328,P_788110,train
W_11041,P_397299,train
W_11041,P_666722,train
W_11050,P_459803,train
W_11050,P_780540,train
W_110692,P_110692,train
W_110692,P_666122,train
W_11092,P_11093,train
W_11092,P_75110,train
W_11109,P_11109,train
W_11109,P_403244,train
W_111342,P_532826,train
W_111342,P_652917,train
W_111392,P_111626,train
W_111392,P_686114,train
W_111395,P_163593,train
W_111395,P_379823,train
W_111446,P_111767,train
W_111446,P_501063,train
W_111465,P_111803,train
W_111465,P_648587,train
W_111475,P_208450,train
W_111475,P_782790,train
W_111636,P_125750,train
W_111636,P_659460,train
W_111676,P_546588,train
W_111676,P_619791,train
W_111933,P_114122,train
W_111933,P_547596,train
W_111935,P_114154,train
W_111935,P_114155,train
W_111937,P_133263,train
W_111937,P_406959,train
W_111953,P_114232,train
W_111953,P_389133,train
W_111969,P_381141,train
W_111969,P_779885,train
W_111988,P_114645,train
W_111988,P_276161,train
W_111999,P_114858,train
W_111999,P_299409,train
W_112073,P_355164,train
W_112073,P_791531,train
W_11208,P_11208,train
W_11208,P_731844,train
W_112081,P_115417,train
W_112081,P_709210,train
W_112103,P_115638,train
W_112103,P_529657,train
W_112105,P_115644,train
W_112105,P_115651,train
W_112148,P_115850,train
W_112148,P_115851,train
W_1122,P_194310,train
W_1122,P_370831,train
W_112217,P_116286,train
W_112217,P_116287,train
W_112235,P_327658,train
W_112235,P_390619,train
W_112255,P_116667,train
W_112255,P_116679,train
W_112332,P_770287,train
W_112332,P_770289,train
W_112342,P_512267,train
W_112342,P_792877,train
W_112353,P_117442,train
W_112353,P_117443,train
W_112372,P_149131,train
W_112372,P_551863,train
W_112380,P_117561,train
W_112380,P_784901,train
W_112421,P_117661,train
W_112421,P_117662,train
W_112453,P_117839,train
W_112453,P_386461,train
W_112459,P_117837,train
W_112459,P_488587,train
W_112476,P_165643,train
W_112476,P_318612,train
W_112477,P_397005,train
W_112477,P_691523,train
W_112478,P_305213,train
W_112478,P_305216,train
W_112484,P_118004,train
W_112484,P_176686,train
W_112534,P_118362,train
W_112534,P_500814,train
W_112572,P_118532,train
W_112572,P_118533,train
W_112623,P_118814,train
W_112623,P_308366,train
W_112633,P_543235,train
W_112633,P_549480,train
W_112739,P_119496,train
W_112739,P_490033,train
W_112752,P_119570,train
W_112752,P_119571,train
W_112842,P_443519,train
W_112842,P_771475,train
W_112874,P_120206,train
W_112874,P_793039,train
W_112905,P_434796,train
W_112905,P_797439,train
W_112936,P_120553,train
W_112936,P_241251,train
W_112971,P_120705,train
W_112971,P_372335,train
W_112986,P_449381,train
W_112986,P_724572,train
W_113020,P_491275,train
W_113020,P_798402,train
W_113072,P_121434,train
W_113072,P_121435,train
W_113090,P_121591,train
W_113090,P_646937,train
W_113096,P_121669,train
W_113096,P_406289,train
W_113116,P_182489,train
W_113116,P_395867,train
W_113119,P_162978,train
W_113119,P_318046,train
W_113147,P_122177,train
W_113147,P_122180,train
W_113181,P_122456,train
W_113181,P_510436,train
W_113230,P_710717,train
W_113230,P_780641,train
W_113252,P_122964,train
W_113252,P_696228,train
W_113353,P_123554,train
W_113353,P_789862,train
W_113397,P_123786,train
W_113397,P_388464,train
W_113399,P_123791,train
W_113399,P_579006,train
W_113421,P_598076,train
W_113421,P_600054,train
W_113450,P_124119,train
W_113450,P_304134,train
W_113457,P_124163,train
W_113457,P_658466,train
W_113465,P_124211,train
W_113465,P_124213,train
W_113470,P_748313,train
W_113470,P_763395,train
W_113476,P_124266,train
W_113476,P_528741,train
W_113511,P_124431,train
W_113511,P_124432,train
W_113607,P_631774,train
W_113607,P_799954,train
W_113610,P_125053,train
W_113610,P_241440,train
W_113630,P_125237,train
W_113630,P_284374,train
W_113636,P_125268,train
W_113636,P_577576,train
W_113652,P_125318,train
W_113652,P_607505,train
W_113653,P_125325,train
W_113653,P_753988,train
W_113659,P_125358,train
W_113659,P_149723,train
W_113660,P_125359,train
W_113660,P_758617,train
W_113662,P_125369,train
W_113662,P_378587,train
W_113667,P_125381,train
W_113667,P_125382,train
W_113681,P_127257,train
W_113681,P_446658,train
W_113686,P_125515,train
W_113686,P_737286,train
W_113689,P_211543,train
W_113689,P_347631,train
W_11369,P_183537,train
W_11369,P_729611,train
W_113715,P_125730,train
W_113715,P_277231,train
W_113769,P_125981,train
W_113769,P_617419,train
W_113776,P_126038,train
W_113776,P_688133,train
W_113777,P_190434,train
W_113777,P_190435,train
W_113779,P_126061,train
W_113779,P_290227,train
W_113786,P_126114,train
W_113786,P_715571,train
W_1138,P_780158,train
W_1138,P_92498,train
W_113828,P_126320,train
W_113828,P_217268,train
W_113840,P_408906,train
W_113840,P_482979,train
W_113865,P_126559,train
W_113865,P_126560,train
W_113874,P_342244,train
W_113874,P_746206,train
W_113900,P_126772,train
W_113900,P_126773,train
W_113904,P_126780,train
W_113904,P_126784,train
W_113986,P_297384,train
W_113986,P_431759,train
W_113999,P_127247,train
W_113999,P_127248,train
W_114002,P_310276,train
W_114002,P_481360,train
W_114041,P_127458,train
W_114041,P_669784,train
W_114042,P_127467,train
W_114042,P_127473,train
W_114176,P_128020,train
W_114176,P_769904,train
W_114217,P_128194,train
W_114217,P_128197,train
W_114218,P_128206,train
W_114218,P_313566,train
W_114265,P_128421,train
W_114265,P_779271,train
W_114307,P_307186,train
W_114307,P_790022,train
W_114313,P_150584,train
W_114313,P_283441,train
W_114355,P_220512,train
W_114355,P_348913,train
W_11442,P_146799,train
W_11442,P_481676,train
W_11444,P_11444,train
W_11444,P_9270,train
W_114472,P_129704,train
W_114472,P_129705,train
W_114477,P_129725,train
W_114477,P_346702,train
W_114485,P_129807,train
W_114485,P_420760,train
W_114487,P_129818,train
W_114487,P_644313,train
W_1145,P_527858,train
W_1145,P_566683,train
W_114504,P_129964,train
W_114504,P_129971,train
W_114517,P_130085,train
W_114517,P_299482,train
W_114542,P_130187,train
W_114542,P_130207,train
W_114549,P_459093,train
W_114549,P_504125,train
W_114551,P_130273,train
W_114551,P_697108,train
W_114571,P_130528,train
W_114571,P_130529,train
W_114578,P_130592,train
W_114578,P_709171,train
W_114593,P_130707,train
W_114593,P_130708,train
W_114596,P_307608,train
W_114596,P_726968,train
W_114610,P_772947,train
W_114610,P_799000,train
W_114656,P_131439,train
W_114656,P_272686,train
W_114657,P_131447,train
W_114657,P_644307,train
W_114660,P_241311,train
W_114660,P_268155,train
W_114665,P_473864,train
W_114665,P_660566,train
W_1147,P_326896,train
W_1147,P_38888,train
W_114715,P_131684,train
W_114715,P_131685,train
W_114716,P_131688,train
W_114716,P_605119,train
W_114729,P_176079,train
W_114729,P_412764,train
W_114738,P_392484,train
W_114738,P_709451,train
W_114739,P_131875,train
W_114739,P_131876,train
W_114745,P_226249,train
W_114745,P_273738,train
W_114786,P_132377,train
W_114786,P_382911,train
W_114794,P_132449,train
W_114794,P_187532,train
W_114814,P_132677,train
W_114814,P_304294,train
W_114836,P_132857,train
W_114836,P_548960,train
W_114843,P_483614,train
W_114843,P_721894,train
W_114938,P_134324,train
W_114938,P_364761,train
W_114948,P_134360,train
W_114948,P_134361,train
W_114950,P_134400,train
W_114950,P_557371,train
W_114988,P_134893,train
W_114988,P_348248,train
W_114989,P_297338,train
W_114989,P_376525,train
W_115008,P_281534,train
W_115008,P_663171,train
W_115013,P_299017,train
W_115013,P_336644,train
W_115028,P_135533,train
W_115028,P_135534,train
W_115074,P_135870,train
W_115074,P_358082,train
W_115082,P_171959,train
W_115082,P_341708,train
W_115092,P_136002,train
W_115092,P_165879,train
W_115121,P_136218,train
W_115121,P_473832,train
W_115146,P_136544,train
W_115146,P_136545,train
W_115160,P_136641,train
W_115160,P_274105,train
W_115161,P_136643,train
W_115161,P_136659,train
W_115172,P_136669,train
W_115172,P_136670,train
W_115250,P_139433,train
W_115250,P_724556,train
W_115257,P_137409,train
W_115257,P_769559,train
W_115265,P_137445,train
W_115265,P_137468,train
W_115266,P_137454,train
W_115266,P_654511,train
W_115369,P_138337,train
W_115369,P_138338,train
W_115412,P_138657,train
W_115412,P_575663,train
W_115413,P_138658,train
W_115413,P_138659,train
W_115447,P_138894,train
W_115447,P_530181,train
W_115449,P_170546,train
W_115449,P_470854,train
W_1155,P_1155,train
W_1155,P_1156,train
W_115539,P_391886,train
W_115539,P_512192,train
W_115543,P_371976,train
W_115543,P_514650,train
W_115574,P_139738,train
W_115574,P_298950,train
W_115595,P_139891,train
W_115595,P_350108,train
W_115662,P_140249,train
W_115662,P_791034,train
W_115678,P_140383,train
W_115678,P_140384,train
W_115682,P_140411,train
W_115682,P_140412,train
W_115687,P_610591,train
W_115687,P_776108,train
W_115706,P_140582,train
W_115706,P_140655,train
W_115729,P_140797,train
W_115729,P_713222,train
W_115738,P_140923,train
W_115738,P_140926,train
W_115761,P_373850,train
W_115761,P_531531,train
W_115771,P_141134,train
W_115771,P_340517,train
W_115777,P_141149,train
W_115777,P_141159,train
W_115779,P_141151,train
W_115779,P_340518,train
W_115780,P_403496,train
W_115780,P_690500,train
W_115784,P_141154,train
W_115784,P_141164,train
W_115808,P_141259,train
W_115808,P_141260,train
W_115840,P_643193,train
W_115840,P_750499,train
W_115870,P_141786,train
W_115870,P_387593,train
W_115880,P_141874,train
W_115880,P_141875,train
W_115887,P_141899,train
W_115887,P_368210,train
W_115898,P_142086,train
W_115898,P_528655,train
W_115900,P_624712,train
W_115900,P_736665,train
W_115905,P_142150,train
W_115905,P_307330,train
W_115953,P_142488,train
W_115953,P_142489,train
W_115955,P_142498,train
W_115955,P_574289,train
W_115958,P_550346,train
W_115958,P_708012,train
W_116012,P_478950,train
W_116012,P_792227,train
W_116047,P_142896,train
W_116047,P_142897,train
W_116062,P_143010,train
W_116062,P_781718,train
W_116113,P_143197,train
W_116113,P_472871,train
W_116116,P_143232,train
W_116116,P_740162,train
W_116117,P_143235,train
W_116117,P_370674,train
W_116122,P_276747,train
W_116122,P_795419,train
W_116156,P_143379,train
W_116156,P_615392,train
W_116157,P_548968,train
W_116157,P_564221,train
W_116183,P_391134,train
W_116183,P_526117,train
W_116207,P_439828,train
W_116207,P_787007,train
W_116221,P_480195,train
W_116221,P_528312,train
W_116231,P_575825,train
W_116231,P_709173,train
W_116240,P_143932,train
W_116240,P_143933,train
W_116276,P_144211,train
W_116276,P_271349,train
W_1163,P_1163,train
W_1163,P_453296,train
W_116316,P_144436,train
W_116316,P_562892,train
W_116452,P_145317,train
W_116452,P_275407,train
W_116468,P_145519,train
W_116468,P_272459,train
W_116527,P_145924,train
W_116527,P_186744,train
W_116528,P_242726,train
W_116528,P_781676,train
W_1167,P_588241,train
W_1167,P_677140,train
W_11679,P_11679,train
W_11679,P_137387,train
W_11691,P_11691,train
W_11691,P_18123,train
W_116938,P_148367,train
W_116938,P_283890,train
W_116964,P_148511,train
W_116964,P_148514,train
W_116966,P_148524,train
W_116966,P_751747,train
W_116969,P_148532,train
W_116969,P_148533,train
W_117055,P_478642,train
W_117055,P_630873,train
W_11706,P_11706,train
W_11706,P_574930,train
W_1171,P_116959,train
W_1171,P_61373,train
W_117145,P_149735,train
W_117145,P_737433,train
W_117176,P_149906,train
W_117176,P_515032,train
W_117193,P_252580,train
W_117193,P_712311,train
W_117204,P_150265,train
W_117204,P_150267,train
W_117244,P_299243,train
W_117244,P_459965,train
W_117260,P_150724,train
W_117260,P_150727,train
W_1173,P_1174,train
W_1173,P_477655,train
W_117306,P_151101,train
