subset,role,wid,pid,raw_frames,silent_fraction,n_nonfinite
coveranalysis,validation,W_78570,P_114206,15332,0.0,0
coveranalysis,validation,W_54460,P_116769,14306,0.00426,0
coveranalysis,validation,W_80259,P_116817,12846,0.00023,0
coveranalysis,validation,W_7368,P_121294,15062,0.0008,0
coveranalysis,validation,W_80259,P_122245,10711,0.04407,0
coveranalysis,validation,W_113183,P_122460,17359,0.0159,0
coveranalysis,validation,W_13093,P_13093,15326,0.00189,0
coveranalysis,validation,W_13524,P_13524,13165,0.00129,0
coveranalysis,validation,W_115629,P_140033,14977,0.04133,0
coveranalysis,validation,W_6524,P_142186,18948,0.00047,0
coveranalysis,validation,W_35540,P_150272,15051,0.01316,0
coveranalysis,validation,W_117316,P_151192,18404,0.00272,0
coveranalysis,validation,W_117316,P_151193,13367,0.03157,0
coveranalysis,validation,W_72854,P_152476,12589,0.01414,0
coveranalysis,validation,W_117514,P_153182,21423,0.00014,0
coveranalysis,validation,W_27871,P_153370,14345,0.01032,0
coveranalysis,validation,W_118340,P_159879,23315,0.00935,0
coveranalysis,validation,W_89909,P_162747,17578,0.01121,0
coveranalysis,validation,W_16690,P_16690,19606,0.00342,0
coveranalysis,validation,W_119983,P_170210,16326,0.00882,0
coveranalysis,validation,W_7368,P_173333,27095,0.00177,0
coveranalysis,validation,W_75143,P_173533,18997,0.02121,0
coveranalysis,validation,W_91884,P_175951,12743,0.01209,0
coveranalysis,validation,W_120888,P_177203,17488,0.00355,0
coveranalysis,validation,W_3821,P_183893,12461,0.0,0
coveranalysis,validation,W_122008,P_188992,18407,0.00158,0
coveranalysis,validation,W_6524,P_192119,17301,0.01023,0
coveranalysis,validation,W_122315,P_192208,11807,0.0,0
coveranalysis,validation,W_122315,P_192331,19029,0.0,0
coveranalysis,validation,W_1952,P_1952,25798,0.00655,0
coveranalysis,validation,W_1952,P_1953,24265,0.00729,0
coveranalysis,validation,W_20314,P_20318,18366,0.0,0
coveranalysis,validation,W_28987,P_210664,17210,0.00267,0
coveranalysis,validation,W_2133,P_2133,18614,0.01424,0
coveranalysis,validation,W_2133,P_2134,19198,0.0012,0
coveranalysis,validation,W_124490,P_213620,23161,0.0,0
coveranalysis,validation,W_124490,P_213631,23161,0.0,0
coveranalysis,validation,W_112677,P_214555,15262,0.01546,0
coveranalysis,validation,W_27871,P_216545,11261,0.0,0
coveranalysis,validation,W_124878,P_216691,21206,0.01151,0
coveranalysis,validation,W_22605,P_218363,21023,0.01194,0
coveranalysis,validation,W_2236,P_2237,23327,0.01938,0
coveranalysis,validation,W_22605,P_22606,21699,0.00991,0
coveranalysis,validation,W_127205,P_231490,14694,0.01708,0
coveranalysis,validation,W_127205,P_231503,12999,0.0,0
coveranalysis,validation,W_23390,P_23396,13732,0.0,0
coveranalysis,validation,W_127594,P_236005,15058,0.0,0
coveranalysis,validation,W_173158,P_245898,17946,0.0156,0
coveranalysis,validation,W_129447,P_247225,15562,0.01015,0
coveranalysis,validation,W_129447,P_247236,14524,0.00255,0
coveranalysis,validation,W_23390,P_247750,16286,0.0019,0
coveranalysis,validation,W_76778,P_251897,19200,0.00219,0
coveranalysis,validation,W_131527,P_263867,21023,0.00138,0
coveranalysis,validation,W_26614,P_26614,25466,0.00377,0
coveranalysis,validation,W_93389,P_267925,36306,0.00209,0
coveranalysis,validation,W_132291,P_268732,18634,0.0,0
coveranalysis,validation,W_132291,P_268741,17822,0.00786,0
coveranalysis,validation,W_29963,P_270325,17577,0.0,0
coveranalysis,validation,W_37082,P_270549,20959,0.05363,0
coveranalysis,validation,W_133055,P_273922,16726,0.00454,0
coveranalysis,validation,W_133055,P_273923,18709,0.0085,0
coveranalysis,validation,W_133731,P_279467,37680,0.01595,0
coveranalysis,validation,W_133731,P_279468,16212,0.0095,0
coveranalysis,validation,W_133773,P_279887,15761,0.0,0
coveranalysis,validation,W_133773,P_279888,15183,0.01357,0
coveranalysis,validation,W_124200,P_281571,17242,0.01456,0
coveranalysis,validation,W_28450,P_28451,36649,0.0,0
coveranalysis,validation,W_134440,P_286678,18053,0.00061,0
coveranalysis,validation,W_135293,P_293947,11719,0.01596,0
coveranalysis,validation,W_135293,P_293949,12599,0.00016,0
coveranalysis,validation,W_135509,P_295681,14573,0.00021,0
coveranalysis,validation,W_135509,P_295682,14349,0.0,0
coveranalysis,validation,W_131527,P_296197,20447,0.0,0
coveranalysis,validation,W_29963,P_29964,13689,0.00051,0
coveranalysis,validation,W_30018,P_30018,14831,0.0176,0
coveranalysis,validation,W_30018,P_30019,18613,0.00134,0
coveranalysis,validation,W_28987,P_300523,15238,0.00564,0
coveranalysis,validation,W_136494,P_306043,11171,0.0196,0
coveranalysis,validation,W_136494,P_306049,12464,0.05119,0
coveranalysis,validation,W_6496,P_309278,24362,0.0,0
coveranalysis,validation,W_31490,P_31491,10482,0.01708,0
coveranalysis,validation,W_138155,P_317849,20072,0.0013,0
coveranalysis,validation,W_138155,P_317859,18137,0.00402,0
coveranalysis,validation,W_32027,P_32027,30190,0.00142,0
coveranalysis,validation,W_32027,P_32028,25815,0.00724,0
coveranalysis,validation,W_15322,P_322348,33098,0.06665,0
coveranalysis,validation,W_83029,P_334252,19909,0.00186,0
coveranalysis,validation,W_33607,P_33607,23475,0.00997,0
coveranalysis,validation,W_112677,P_346926,15425,0.02729,0
coveranalysis,validation,W_45010,P_347060,24644,0.00649,0
coveranalysis,validation,W_142055,P_348253,22770,0.03535,0
coveranalysis,validation,W_142055,P_348255,18690,0.00011,0
coveranalysis,validation,W_142089,P_348453,18767,0.02781,0
coveranalysis,validation,W_142089,P_348454,16542,0.01124,0
coveranalysis,validation,W_20683,P_349459,22489,0.0,0
coveranalysis,validation,W_143269,P_356131,17750,0.00592,0
coveranalysis,validation,W_143269,P_356132,35609,0.0032,0
coveranalysis,validation,W_115629,P_358462,16800,0.00018,0
coveranalysis,validation,W_45391,P_363307,22204,0.00099,0
coveranalysis,validation,W_144350,P_364120,17236,0.00325,0
coveranalysis,validation,W_144511,P_365423,14081,0.01285,0
coveranalysis,validation,W_144551,P_365877,10477,0.00754,0
coveranalysis,validation,W_144551,P_365878,11323,0.05758,0
coveranalysis,validation,W_144927,P_368077,32099,6e-05,0
coveranalysis,validation,W_144927,P_368091,26998,0.00011,0
coveranalysis,validation,W_145076,P_368862,14239,0.0,0
coveranalysis,validation,W_145076,P_368863,13108,0.0,0
coveranalysis,validation,W_33607,P_36889,14855,0.0,0
coveranalysis,validation,W_78577,P_373176,14551,0.04632,0
coveranalysis,validation,W_122327,P_379508,21077,5e-05,0
coveranalysis,validation,W_13524,P_380812,11054,0.0,0
coveranalysis,validation,W_146868,P_380842,13136,0.00282,0
coveranalysis,validation,W_146868,P_380843,13511,0.0,0
coveranalysis,validation,W_89909,P_381228,19702,0.01228,0
coveranalysis,validation,W_38140,P_38140,14059,0.0005,0
coveranalysis,validation,W_3821,P_3822,11657,0.00858,0
coveranalysis,validation,W_148950,P_396226,13671,0.0,0
coveranalysis,validation,W_148950,P_396228,11634,0.0061,0
coveranalysis,validation,W_149012,P_396765,13550,0.00841,0
coveranalysis,validation,W_149012,P_396766,14477,0.00014,0
coveranalysis,validation,W_136401,P_399233,22078,0.00014,0
coveranalysis,validation,W_102490,P_402053,14705,0.00823,0
coveranalysis,validation,W_149777,P_407489,25550,0.10223,0
coveranalysis,validation,W_149777,P_407492,22221,0.0,0
coveranalysis,validation,W_2236,P_409754,21322,0.0106,0
coveranalysis,validation,W_4320,P_411978,13749,0.0,0
coveranalysis,validation,W_49591,P_423626,18452,0.01051,0
coveranalysis,validation,W_151722,P_434249,21033,0.00342,0
coveranalysis,validation,W_151997,P_437680,19630,0.00173,0
coveranalysis,validation,W_151997,P_437757,15159,0.0663,0
coveranalysis,validation,W_118340,P_439575,21370,0.00533,0
coveranalysis,validation,W_94280,P_445504,21797,0.00023,0
coveranalysis,validation,W_152822,P_448178,20715,0.01385,0
coveranalysis,validation,W_152822,P_448179,26331,8e-05,0
coveranalysis,validation,W_119983,P_449118,13062,0.00077,0
coveranalysis,validation,W_153101,P_451737,16453,0.00036,0
coveranalysis,validation,W_153101,P_452608,15421,0.0,0
coveranalysis,validation,W_153213,P_453413,16421,0.00146,0
coveranalysis,validation,W_153213,P_453466,15385,0.00279,0
coveranalysis,validation,W_45391,P_45391,20211,0.00025,0
coveranalysis,validation,W_122008,P_459375,33795,0.0,0
coveranalysis,validation,W_153913,P_461450,27704,0.00588,0
coveranalysis,validation,W_60885,P_469893,14910,0.00805,0
coveranalysis,validation,W_45010,P_475255,28895,0.00633,0
coveranalysis,validation,W_20314,P_477072,18931,0.00132,0
coveranalysis,validation,W_60885,P_480274,14026,0.03636,0
coveranalysis,validation,W_49591,P_49592,18332,0.05128,0
coveranalysis,validation,W_158202,P_500586,12805,0.00226,0
coveranalysis,validation,W_158202,P_500597,15104,0.00993,0
coveranalysis,validation,W_159098,P_508802,20400,0.00838,0
coveranalysis,validation,W_159320,P_511095,18333,0.00136,0
coveranalysis,validation,W_159320,P_511096,20841,0.00686,0
coveranalysis,validation,W_159339,P_511254,22919,0.00013,0
coveranalysis,validation,W_159339,P_511271,19827,0.01276,0
coveranalysis,validation,W_117514,P_512717,26811,0.00679,0
coveranalysis,validation,W_111345,P_518131,27263,0.0,0
coveranalysis,validation,W_160998,P_523703,18814,0.02583,0
coveranalysis,validation,W_160998,P_525135,17687,0.00187,0
coveranalysis,validation,W_76778,P_529022,21795,0.00835,0
coveranalysis,validation,W_105295,P_529479,16026,0.01198,0
coveranalysis,validation,W_53057,P_53058,21259,0.00433,0
coveranalysis,validation,W_53186,P_53187,13225,0.00393,0
coveranalysis,validation,W_53186,P_53190,11631,0.0,0
coveranalysis,validation,W_162089,P_532230,12661,0.01058,0
coveranalysis,validation,W_53057,P_53610,14452,0.00021,0
coveranalysis,validation,W_38140,P_540010,19846,0.0004,0
coveranalysis,validation,W_122327,P_542507,18845,0.01268,0
coveranalysis,validation,W_163575,P_543911,19766,0.00632,0
coveranalysis,validation,W_163575,P_544117,15975,0.0,0
coveranalysis,validation,W_54460,P_54460,13183,0.0,0
coveranalysis,validation,W_4320,P_547455,13511,0.04278,0
coveranalysis,validation,W_164112,P_547995,14213,0.00922,0
coveranalysis,validation,W_164112,P_547997,27255,0.00037,0
coveranalysis,validation,W_13093,P_54802,18041,0.01092,0
coveranalysis,validation,W_164136,P_548428,20667,0.02618,0
coveranalysis,validation,W_164338,P_550203,10434,0.00508,0
coveranalysis,validation,W_164338,P_550204,16427,0.00061,0
coveranalysis,validation,W_134440,P_550963,20464,0.02404,0
coveranalysis,validation,W_55345,P_55345,11552,0.02701,0
coveranalysis,validation,W_143731,P_555185,13431,0.00484,0
coveranalysis,validation,W_144511,P_562173,18559,0.00108,0
coveranalysis,validation,W_165819,P_562907,14260,0.0,0
coveranalysis,validation,W_165819,P_562908,31357,0.00931,0
coveranalysis,validation,W_166041,P_564834,14643,0.0002,0
coveranalysis,validation,W_166041,P_564836,16881,0.00267,0
coveranalysis,validation,W_162089,P_568607,14904,0.0,0
coveranalysis,validation,W_84593,P_575250,24414,0.0,0
coveranalysis,validation,W_167932,P_577756,20151,0.00705,0
coveranalysis,validation,W_167932,P_577757,16565,0.00984,0
coveranalysis,validation,W_168343,P_580132,14918,0.03647,0
coveranalysis,validation,W_168343,P_580135,21415,0.00939,0
coveranalysis,validation,W_16690,P_590297,16712,0.00156,0
coveranalysis,validation,W_151722,P_601793,26217,0.00336,0
coveranalysis,validation,W_172989,P_607555,28721,0.00021,0
coveranalysis,validation,W_172989,P_607556,26927,0.00019,0
coveranalysis,validation,W_173158,P_608444,16334,0.00355,0
coveranalysis,validation,W_6496,P_609528,23399,0.06406,0
coveranalysis,validation,W_124878,P_611665,24403,0.01664,0
coveranalysis,validation,W_173613,P_611803,18230,0.00016,0
coveranalysis,validation,W_173613,P_611804,12447,0.0,0
coveranalysis,validation,W_144350,P_613045,13667,0.0,0
coveranalysis,validation,W_657,P_621702,23092,0.01005,0
coveranalysis,validation,W_176657,P_634300,18063,0.01882,0
coveranalysis,validation,W_176657,P_635063,21985,0.01274,0
coveranalysis,validation,W_178062,P_646336,17223,0.02253,0
coveranalysis,validation,W_178062,P_646347,21713,0.00111,0
coveranalysis,validation,W_20683,P_64771,14958,0.0,0
coveranalysis,validation,W_657,P_649137,37085,0.00016,0
coveranalysis,validation,W_136401,P_653283,19563,0.02714,0
coveranalysis,validation,W_180082,P_660895,21019,0.00428,0
coveranalysis,validation,W_180082,P_660896,11766,0.01351,0
coveranalysis,validation,W_180542,P_665410,17257,0.00075,0
coveranalysis,validation,W_180542,P_665420,14525,0.00186,0
coveranalysis,validation,W_143731,P_674513,13430,0.00201,0
coveranalysis,validation,W_183109,P_683323,18565,0.00291,0
coveranalysis,validation,W_183973,P_687669,19582,0.00424,0
coveranalysis,validation,W_183973,P_687670,19196,0.00776,0
coveranalysis,validation,W_184246,P_689064,17589,0.00768,0
coveranalysis,validation,W_186149,P_697617,19804,0.0154,0
coveranalysis,validation,W_186149,P_697619,18674,0.00016,0
coveranalysis,validation,W_186963,P_701783,19132,0.0001,0
coveranalysis,validation,W_186963,P_701785,15221,0.00026,0
coveranalysis,validation,W_187689,P_705205,21130,0.0098,0
coveranalysis,validation,W_187689,P_705206,40654,0.05384,0
coveranalysis,validation,W_124200,P_706741,22399,0.00232,0
coveranalysis,validation,W_28450,P_707217,40573,0.0,0
coveranalysis,validation,W_188196,P_707599,19766,0.00708,0
coveranalysis,validation,W_188196,P_707600,18675,0.00048,0
coveranalysis,validation,W_188235,P_707779,16354,0.01553,0
coveranalysis,validation,W_188235,P_707788,16254,0.00068,0
coveranalysis,validation,W_184246,P_711044,20136,0.00631,0
coveranalysis,validation,W_120888,P_711907,29226,0.00315,0
coveranalysis,validation,W_159098,P_718190,18827,0.0085,0
coveranalysis,validation,W_190116,P_718356,14678,0.02241,0
coveranalysis,validation,W_190116,P_718357,14445,0.01585,0
coveranalysis,validation,W_190299,P_719142,21076,0.00043,0
coveranalysis,validation,W_190299,P_719143,21278,0.0,0
coveranalysis,validation,W_190349,P_719271,18218,0.0,0
coveranalysis,validation,W_190349,P_719603,21761,0.00754,0
coveranalysis,validation,W_190669,P_720493,15681,0.04043,0
coveranalysis,validation,W_190669,P_720673,15485,0.00265,0
coveranalysis,validation,W_190870,P_721899,15626,0.0,0
coveranalysis,validation,W_190870,P_721900,18071,0.00736,0
coveranalysis,validation,W_37233,P_727385,12925,0.02623,0
coveranalysis,validation,W_72854,P_72854,19902,0.00397,0
coveranalysis,validation,W_192916,P_731243,18093,0.00249,0
coveranalysis,validation,W_192916,P_731244,18450,0.01675,0
coveranalysis,validation,W_37233,P_73447,14629,0.0,0
coveranalysis,validation,W_111345,P_738685,18421,0.00803,0
coveranalysis,validation,W_194622,P_739087,11622,0.00508,0
coveranalysis,validation,W_194622,P_739088,11519,0.0,0
coveranalysis,validation,W_195260,P_742181,12609,0.01642,0
coveranalysis,validation,W_195260,P_742208,17397,0.0,0
coveranalysis,validation,W_196429,P_749411,17545,0.01151,0
coveranalysis,validation,W_196429,P_749413,25330,0.00987,0
coveranalysis,validation,W_196666,P_751378,14011,0.02048,0
coveranalysis,validation,W_196666,P_751379,14257,0.0,0
coveranalysis,validation,W_75143,P_75144,18101,0.00978,0
coveranalysis,validation,W_111444,P_752549,14677,0.00027,0
coveranalysis,validation,W_127594,P_752797,12067,0.05014,0
coveranalysis,validation,W_164136,P_755480,22239,4e-05,0
coveranalysis,validation,W_183109,P_764190,18625,0.0,0
coveranalysis,validation,W_198943,P_769124,17143,0.00397,0
coveranalysis,validation,W_198943,P_769125,26935,0.00019,0
coveranalysis,validation,W_113183,P_770418,15883,0.0,0
coveranalysis,validation,W_111444,P_771592,17631,0.0,0
coveranalysis,validation,W_199298,P_771789,15377,0.0,0
coveranalysis,validation,W_199298,P_771790,12618,0.01767,0
coveranalysis,validation,W_26614,P_781221,13751,0.0,0
coveranalysis,validation,W_73781,P_781917,11630,0.00318,0
coveranalysis,validation,W_31490,P_78274,12323,0.0,0
coveranalysis,validation,W_200884,P_782838,19064,0.0021,0
coveranalysis,validation,W_200884,P_782839,30881,0.0,0
coveranalysis,validation,W_78570,P_78570,11482,0.0142,0
coveranalysis,validation,W_15322,P_788118,40925,0.04073,0
coveranalysis,validation,W_201618,P_788133,16886,0.00527,0
coveranalysis,validation,W_201618,P_788134,28353,0.00032,0
coveranalysis,validation,W_153913,P_789768,21197,0.00123,0
coveranalysis,validation,W_202175,P_792473,20867,0.0,0
coveranalysis,validation,W_202175,P_792474,27963,0.00486,0
coveranalysis,validation,W_73781,P_797855,18011,0.00011,0
coveranalysis,validation,W_203391,P_799230,32909,0.00033,0
coveranalysis,validation,W_203391,P_799232,29747,0.00877,0
coveranalysis,validation,W_83029,P_83030,20162,0.00179,0
coveranalysis,validation,W_84593,P_84594,20181,0.00035,0
coveranalysis,validation,W_55345,P_86227,12151,0.02189,0
coveranalysis,validation,W_88410,P_88410,12237,0.0,0
coveranalysis,validation,W_88410,P_88411,14321,0.00014,0
coveranalysis,validation,W_35540,P_89674,18710,0.00877,0
coveranalysis,validation,W_91884,P_91885,13999,0.0,0
coveranalysis,validation,W_78577,P_92607,10777,0.00084,0
coveranalysis,validation,W_93389,P_93389,31771,0.00415,0
coveranalysis,validation,W_94280,P_94280,18087,0.00017,0
coveranalysis,validation,W_105959,P_98874,15766,0.00025,0
coveranalysis,train,W_100010,P_100010,13728,0.01107,0
coveranalysis,train,W_100027,P_100027,11837,0.00245,0
coveranalysis,train,W_100027,P_100028,25331,0.05902,0
coveranalysis,train,W_36139,P_100097,15481,0.01111,0
coveranalysis,train,W_100158,P_100158,13897,0.01864,0
coveranalysis,train,W_100202,P_100203,22746,0.00413,0
coveranalysis,train,W_100235,P_100235,16854,0.00445,0
coveranalysis,train,W_62483,P_100382,25932,0.00656,0
coveranalysis,train,W_100698,P_100698,14491,0.02008,0
coveranalysis,train,W_91613,P_100948,17760,0.00186,0
coveranalysis,train,W_100961,P_100961,15341,0.03031,0
coveranalysis,train,W_101059,P_101059,11717,0.00026,0
coveranalysis,train,W_101069,P_101069,14097,0.00021,0
coveranalysis,train,W_101069,P_101070,14648,0.01304,0
coveranalysis,train,W_3333,P_101072,12625,0.02051,0
coveranalysis,train,W_95545,P_101106,12929,0.00178,0
coveranalysis,train,W_101193,P_101193,15045,0.0002,0
coveranalysis,train,W_101331,P_101331,25411,0.00763,0
coveranalysis,train,W_101331,P_101333,13069,0.00023,0
coveranalysis,train,W_101464,P_101465,19879,0.00885,0
coveranalysis,train,W_20095,P_101503,16134,0.00099,0
coveranalysis,train,W_4629,P_101602,13691,0.0,0
coveranalysis,train,W_101628,P_101629,15499,0.0,0
coveranalysis,train,W_10181,P_10181,16557,0.0,0
coveranalysis,train,W_101890,P_101890,16166,0.01287,0
coveranalysis,train,W_72804,P_102026,14349,0.00481,0
