query_pid,query_wid,n_rel,global:full_long_rel_ranks,global:full_60_rel_ranks,global:base_1500_rel_ranks,ttr_rel_ranks,win_max_rel_ranks,win_fuse_rel_ranks,s1_hub_rel_ranks
P_101442,W_63854,12,30;137;163;333;672;1644;1685;2099;2528;2722;3001;3200,253;1105;1117;1201;1290;2357;2805;3125;3542;3711;4342;5378,342;884;1021;1638;1668;1689;2563;2577;3397;3541;4186;4547,40;42;274;400;607;1385;1557;1634;2086;2243;2292;2657,5;222;234;285;535;712;1312;1797;2145;2443;2593;3803,42;103;161;168;468;529;1312;2024;2556;2572;2676;2967,30;137;163;333;672;1644;1685;2099;2528;2722;3001;3200
P_101515,W_2393,12,3;6;7;21;26;285;399;810;1491;1708;2484;6503,1;17;27;50;101;246;347;495;1885;2004;4106;4463,14;46;172;370;593;1246;1247;1290;1788;1973;2562;3029,1;2;7;11;37;172;362;525;733;1492;1795;5588,1;2;3;13;45;129;145;166;290;342;563;5414,1;2;3;4;76;98;111;223;494;509;642;5756,3;6;7;21;26;285;399;810;1491;1708;2484;6503
P_101520,W_3162,12,3;4;6;7;20;22;27;47;141;1041;2983;12585,11;26;29;30;44;64;143;227;881;1697;1866;5441,20;281;303;304;412;1148;1976;2039;2635;3897;4289;4994,3;4;6;7;8;16;17;61;82;395;3068;13734,1;2;4;5;7;8;11;12;112;283;3072;11255,1;3;4;5;9;10;11;15;92;514;2875;12147,3;4;6;7;20;22;27;47;141;1041;2983;12585
P_101529,W_10788,12,13;31;103;118;186;366;490;502;520;1052;5038;12992,38;70;259;567;702;777;1045;1328;1627;2007;5934;14291,130;339;376;460;1249;1506;2464;2845;3219;3371;7776;14040,2;5;33;85;141;391;420;557;617;700;10206;14588,9;56;112;159;270;564;602;758;1013;1466;1580;4721,12;38;72;139;191;229;398;464;718;895;2135;8403,13;31;103;118;186;366;490;502;520;1052;5038;12992
P_101533,W_15519,12,16;215;293;566;638;1084;1096;1341;1645;2957;3403;5917,658;1003;1620;3727;4122;4138;4626;6307;6572;7294;7313;9515,128;306;486;636;701;831;1030;1294;2426;2454;3338;5544,61;122;730;868;998;1404;1451;1497;2139;3352;4152;5188,141;228;272;413;1408;1633;2212;2486;2783;2795;3469;7228,142;166;252;471;580;696;770;1339;1815;1877;2773;6423,16;215;293;566;638;1084;1096;1341;1645;2957;3403;5917
P_101534,W_3177,12,906;1270;4485;5311;5385;5951;7136;7640;8207;8586;9277;11733,272;2319;2344;4734;6738;7519;7989;9301;9442;9939;10930;11871,875;4354;4738;4916;5529;5813;6253;6305;8827;9735;12808;13942,196;1033;3011;3121;3649;3705;4413;5078;5923;7315;9035;10701,123;445;541;576;2090;3318;4055;4327;6441;6870;6956;8233,190;595;1682;2537;4634;5610;5737;6377;7264;7543;8305;8594,906;1270;4485;5311;5385;5951;7136;7640;8207;8586;9277;11733
P_101536,W_22451,12,23;67;316;510;1211;2049;3526;4091;5487;6011;7824;10610,29;92;409;552;901;941;1059;1302;1770;2204;4657;6177,659;1807;2533;3537;3788;5943;6673;6723;7243;8388;10233;10865,41;45;580;855;1547;3582;3748;4334;4391;5199;8468;9868,8;15;21;116;489;833;1378;1702;1778;2541;4797;8500,5;22;83;216;1301;1763;1774;1828;3408;3850;6458;9780,23;67;316;510;1211;2049;3526;4091;5487;6011;7824;10610
P_1017,W_1017,12,1;2;5;6;10;11;16;17;26;83;132;187,16;56;73;139;151;207;268;275;388;394;445;1077,38;50;70;86;117;398;1066;1076;1150;1163;1780;2212,1;2;8;10;15;16;17;35;36;62;198;272,1;3;9;11;13;15;17;20;39;41;282;573,1;2;3;7;8;10;18;22;23;44;114;299,1;2;5;6;10;11;16;17;26;83;132;187
P_101853,W_28493,12,1167;1608;2071;2781;2809;3046;3376;3422;4162;5313;6020;9657,808;905;1358;2023;2047;2456;4074;4467;5026;7084;7256;8917,391;3170;3819;4152;4686;5603;6101;6520;6526;7081;7753;9533,760;1405;1848;1924;2526;3053;3769;3815;3970;5802;5828;9894,284;392;1766;2515;2860;3491;4530;4634;5058;6014;7194;10274,575;716;2576;2785;3193;3366;3381;3962;4843;5292;6344;9908,1167;1608;2071;2781;2809;3046;3376;3422;4162;5313;6020;9657
P_102024,W_2673,12,2;20;24;204;247;270;365;387;482;777;1480;2023,49;123;154;229;497;565;792;3335;3741;4914;5131;7333,12;114;475;493;992;1002;1080;1671;3411;4096;4477;8654,2;12;13;174;220;328;339;349;583;608;1909;2838,9;14;16;48;81;101;109;217;430;623;2684;4833,2;11;12;79;113;134;196;256;348;649;1866;3130,2;20;24;204;247;270;365;387;482;777;1480;2023
P_102104,W_6676,12,87;114;124;137;152;196;417;869;972;1163;1175;1551,13;24;144;183;229;231;246;265;670;797;1053;2288,61;257;291;706;1676;2247;2533;2604;3424;4433;4444;7975,132;173;214;235;248;255;293;922;1069;1102;1115;1131,1;3;52;277;357;851;1647;2109;2161;2244;2683;2767,10;52;63;105;175;213;349;1067;1171;1279;1456;1747,87;114;124;137;152;196;417;869;972;1163;1175;1551
P_10212,W_10212,12,1;7;10;53;79;139;339;727;1231;1458;2407;4391,118;175;209;222;353;724;768;848;861;1200;1577;2472,480;832;2462;3321;3424;3880;4132;4411;5036;5183;5304;6913,1;12;15;23;42;84;177;795;1127;1286;2310;4338,3;35;128;159;236;428;478;1000;2036;2537;2565;2604,1;2;25;30;41;129;418;473;1559;1707;2099;3486,1;7;10;53;79;139;339;727;1231;1458;2407;4391
P_10216,W_10216,12,228;409;423;613;626;784;1309;1550;2509;2563;2654;4828,113;306;542;897;1143;1189;1395;1487;1916;2047;2226;5210,129;266;583;823;891;1487;2833;3997;4379;5111;7675;9989,67;243;375;377;401;740;941;1575;2136;2363;2416;4708,71;202;252;315;383;420;498;519;656;2011;3393;3684,127;240;325;355;371;406;808;856;1484;2221;2848;4247,228;409;423;613;626;784;1309;1550;2509;2563;2654;4828
P_102166,W_2976,12,41;200;272;300;307;312;327;339;1239;2471;3153;5359,63;312;732;1059;1131;1441;1451;1651;2305;3533;8178;8599,25;182;341;428;731;1265;1526;1740;1963;2162;2975;6227,10;74;85;86;97;133;148;231;248;1360;2102;4868,9;12;27;132;310;363;410;621;828;1013;1758;2109,2;22;42;110;171;225;314;429;769;808;2262;3015,41;200;272;300;307;312;327;339;1239;2471;3153;5359
P_102167,W_2974,12,30;212;262;343;349;363;412;567;697;733;838;1078,374;565;577;1137;1178;1347;1428;1635;1699;2266;2592;3362,1;623;888;1791;1831;2138;2658;2855;3087;3262;3423;5461,24;183;216;262;287;321;382;441;471;501;706;895,4;53;74;120;169;212;253;273;288;372;438;534,2;194;212;214;218;278;283;371;375;456;471;604,30;212;262;343;349;363;412;567;697;733;838;1078
P_102171,W_100,12,9;29;53;69;130;219;627;2013;2076;4596;5834;9710,32;293;342;425;760;1293;1630;2004;2990;3631;4673;9484,40;687;1224;1530;1541;2474;3229;3478;4478;5960;8502;11763,4;17;75;83;88;90;488;1510;1971;4408;6521;9001,37;85;149;224;323;359;554;736;765;1861;3158;12228,23;24;48;54;186;191;526;830;2187;2289;2708;11212,9;29;53;69;130;219;627;2013;2076;4596;5834;9710
P_102273,W_7495,12,1;2;12;13;59;65;77;97;170;185;246;3833,5;6;18;43;81;101;135;313;359;610;837;3481,24;138;166;189;306;365;1167;1363;1400;3844;4476;6677,1;2;5;6;31;51;54;79;151;237;244;3822,21;23;74;102;104;149;151;167;220;280;704;4960,2;6;8;21;63;69;78;80;116;131;295;4071,1;2;12;13;59;65;77;97;170;185;246;3833
P_10229,W_167,12,28;132;559;650;850;1484;1838;2083;2115;2865;5501;5612,29;31;32;65;85;154;309;637;963;1144;1568;1997,257;827;930;3681;3948;5600;6648;6866;8062;8748;10041;10920,13;18;154;163;350;400;980;1049;1304;1350;1399;1728,2;70;136;142;183;275;304;369;426;657;946;3187,2;84;242;264;366;810;818;987;1252;1572;1949;2199,28;132;559;650;850;1484;1838;2083;2115;2865;5501;5612
P_102343,W_40034,12,1;120;645;4402;4651;7419;8167;8603;9503;12506;12968;13112,23;1206;1913;4618;6169;6271;6585;7000;7069;8168;11618;13355,16;1166;1509;1742;2432;2738;5249;8211;8408;9786;10612;10632,5;174;1611;4228;5014;7632;8231;9717;9862;12408;13276;13402,2;2371;2731;2886;6635;6666;7295;8103;8250;11180;11808;12558,1;642;1371;3663;5416;7747;7798;8265;8549;12227;12240;12886,1;120;645;4402;4651;7419;8167;8603;9503;12506;12968;13112
P_10237,W_10237,12,1;4;5;21;53;76;350;430;518;630;797;3215,2;7;9;11;14;28;72;183;393;709;797;4500,11;43;174;175;266;487;748;890;918;1441;1528;2973,1;3;6;8;20;40;276;397;456;525;550;3667,1;2;3;4;5;9;14;16;38;70;569;4653,1;2;4;5;7;14;32;49;71;135;358;3601,1;4;5;21;53;76;350;430;518;630;797;3215
P_102396,W_31003,12,222;458;625;883;1192;1204;1247;1385;1516;3169;3799;5429,18;38;274;598;613;619;1320;2040;2618;2793;3348;7895,17;243;256;463;684;1127;2080;3204;3692;6814;7327;9821,133;170;481;700;733;1130;1162;1327;1486;1594;2354;2715,1;386;387;470;627;641;1013;1267;1276;1510;2181;5798,70;192;629;670;689;746;764;1117;1800;2238;2531;3096,222;458;625;883;1192;1204;1247;1385;1516;3169;3799;5429
P_10242,W_10237,12,2;5;18;23;50;83;121;308;1102;1465;1602;1848,8;44;56;98;114;222;512;761;940;1263;1728;1787,7;115;191;192;203;537;611;681;1396;1431;1513;2897,1;7;23;32;120;162;175;309;891;1551;1578;2320,1;2;5;8;10;34;92;152;179;299;322;4402,1;2;4;8;53;69;73;82;153;255;564;2581,2;5;18;23;50;83;121;308;1102;1465;1602;1848
P_102435,W_9626,12,35;63;202;203;239;304;391;646;835;890;1153;3022,134;232;327;330;781;919;1026;1625;1626;1675;2631;3454,937;1491;1567;1790;1966;3153;3251;3479;3480;3922;5043;5341,25;106;156;231;232;385;469;557;719;1095;1391;2372,103;125;209;224;225;543;567;596;726;852;856;1514,56;65;167;168;197;281;333;508;733;819;1035;1636,35;63;202;203;239;304;391;646;835;890;1153;3022
P_102458,W_11817,12,33;91;315;608;699;780;814;968;1272;1331;1487;4318,147;371;851;857;953;1086;1486;1745;1900;1918;3264;3820,81;300;561;786;1185;1326;1731;1773;3216;3290;4065;6161,28;56;422;447;532;685;749;759;882;1161;1477;3974,95;519;560;652;809;883;1195;1253;1751;1868;2112;2801,121;167;240;317;670;690;887;1047;1207;1279;1382;3538,33;91;315;608;699;780;814;968;1272;1331;1487;4318
P_102471,W_10717,12,7;8;71;164;166;181;436;621;2552;2652;5139;8017,2;8;17;135;374;436;490;701;1347;2557;3830;5883,96;486;1711;1771;1865;1958;2586;3042;4114;4489;7410;7510,15;17;29;150;162;268;348;801;1340;2517;4857;7506,18;32;37;67;79;86;104;126;491;728;3646;7683,6;10;30;56;73;95;155;181;1013;2017;2846;7937,7;8;71;164;166;181;436;621;2552;2652;5139;8017
P_102472,W_841,12,9;15;24;28;42;55;96;120;207;214;397;6229,734;1062;1199;1942;2089;2347;2926;3406;3581;3971;4132;4366,1842;2960;3127;3679;3889;3984;4364;5309;5316;5988;6467;7077,23;36;71;73;134;162;165;265;371;737;1354;2993,5;10;26;31;34;37;38;39;46;135;305;2148,6;9;10;13;23;28;53;65;85;93;113;4005,9;15;24;28;42;55;96;120;207;214;397;6229
P_102474,W_12992,12,9;17;18;24;28;29;30;32;43;49;64;2962,15;26;34;36;38;39;73;77;201;272;632;666,7;9;12;82;93;124;228;502;586;854;1908;8462,3;12;13;14;18;19;21;24;29;57;124;1635,2;3;10;14;24;27;29;49;112;185;311;4462,2;3;13;14;15;16;19;22;27;40;67;3534,9;17;18;24;28;29;30;32;43;49;64;2962
P_10253,W_10253,12,2;3;5;7;14;37;42;80;209;411;580;1188,1;89;127;146;303;311;379;510;660;1511;1624;2960,4;289;378;387;600;829;1069;1123;1700;2501;3706;4127,2;5;7;8;13;20;45;134;220;283;450;1019,2;4;15;20;45;102;109;112;206;360;1440;1967,1;2;3;8;20;46;53;123;185;240;547;1451,2;3;5;7;14;37;42;80;209;411;580;1188
P_102533,W_27906,12,75;159;389;836;1219;1362;1382;1492;3078;3782;6019;7195,337;1261;1662;1772;2045;2184;2562;2623;2760;3147;4956;6715,40;125;987;993;1038;1409;1881;1904;2290;2571;4854;9733,253;336;647;710;1072;1119;1353;1403;3005;3285;6121;6801,251;302;317;663;1212;1296;1548;1932;2242;2982;3928;5540,82;214;446;569;722;1115;1353;1971;2601;2619;5808;5831,75;159;389;836;1219;1362;1382;1492;3078;3782;6019;7195
P_10257,W_100,12,333;886;909;2024;2534;2803;4481;5751;5846;6194;9545;9766,609;1080;1354;1919;2106;4072;4725;5229;6142;9023;9492;10513,2148;2817;4345;5873;5947;7456;8534;8911;10613;12373;13174;14346,263;1139;1475;2109;2113;2865;4454;5337;6237;6785;9491;10253,80;226;238;241;318;364;416;446;456;1206;2370;11587,210;376;508;799;881;1153;1529;1748;2281;2982;6017;10744,333;886;909;2024;2534;2803;4481;5751;5846;6194;9545;9766
P_102577,W_102577,12,565;604;1111;1244;1381;1761;2430;2512;4458;5058;5787;6010,508;681;1149;1377;1809;2817;2960;3572;5023;6161;7514;8106,963;1567;2519;3141;3306;3721;3844;4507;6860;7869;8392;8863,705;777;1008;1485;1582;1893;2039;2284;4275;5086;5796;6158,240;575;732;1785;3839;4054;5170;5233;5743;7575;7614;7684,221;693;975;1627;1956;2878;3374;3466;4625;4689;6484;6592,565;604;1111;1244;1381;1761;2430;2512;4458;5058;5787;6010
P_10259,W_2768,12,2;5;17;82;94;173;215;264;286;422;2808;3499,29;207;228;496;502;765;769;1369;1496;1895;3466;7300,52;97;161;280;704;723;858;1243;2262;4072;6110;6249,9;10;37;91;195;224;268;293;322;512;3182;3282,1;2;6;47;51;135;196;261;483;1247;1385;1444,1;2;12;59;75;92;109;125;368;540;1849;2265,2;5;17;82;94;173;215;264;286;422;2808;3499
P_102602,W_51980,12,10;11;50;153;160;274;557;631;741;1817;2734;4947,192;207;253;355;447;587;725;795;1488;1863;2158;2862,10;87;188;212;240;509;565;769;796;947;1244;5450,3;14;24;70;208;491;511;517;579;1600;2962;4465,25;51;169;286;296;398;648;1167;1558;1571;1737;3818,5;10;97;103;141;329;515;650;1034;1437;3220;3325,10;11;50;153;160;274;557;631;741;1817;2734;4947
P_10261,W_10253,12,211;736;824;898;1230;1263;1872;2116;2645;2835;3402;6018,65;472;474;577;703;1050;1094;1133;1467;3427;4296;9997,13;56;114;128;299;497;583;1873;2160;2462;3254;3639,174;528;785;1090;1350;1519;2056;2781;3033;3292;4006;6111,7;78;100;204;634;1011;1095;1395;1950;2822;4210;7026,65;74;256;276;685;931;1172;1320;2041;2621;3678;6464,211;736;824;898;1230;1263;1872;2116;2645;2835;3402;6018
P_102624,W_11794,12,441;466;1025;1078;1162;1190;2665;2668;2672;3052;4102;7214,77;173;334;715;718;1021;2898;3095;4360;5866;6600;6896,603;842;865;1270;1624;1852;1947;2025;2624;2752;4405;6079,500;936;1009;1030;1142;1257;2168;2270;2665;3014;3303;6947,1424;2006;2302;2648;2831;2969;3087;3951;3970;5248;5358;6186,978;1093;1222;1588;1707;1761;2222;3207;4212;4559;4652;5842,441;466;1025;1078;1162;1190;2665;2668;2672;3052;4102;7214
P_102627,W_75372,12,57;165;223;993;1142;2366;3436;3752;4280;5174;6087;7413,4;705;728;834;1263;1439;2225;2826;2941;4792;5041;7900,167;259;301;690;1744;2067;3137;3149;5039;5319;5699;9217,160;234;471;616;834;1653;2929;3295;4022;5258;6141;6758,23;1455;1889;2162;2478;2893;3019;3492;4149;4889;5841;7485,18;556;622;1350;2412;2797;3091;3179;4220;5012;6368;6721,57;165;223;993;1142;2366;3436;3752;4280;5174;6087;7413
P_102651,W_3097,12,1;2;20;54;57;72;140;163;205;315;543;651,5;15;18;25;233;245;477;492;2120;2553;4426;5512,637;717;770;842;1052;1101;1341;1587;1908;3319;4137;5806,1;4;37;52;61;105;109;261;290;365;1153;1211,1;3;34;38;93;97;192;198;559;564;1495;1652,1;5;12;18;29;48;115;149;198;492;569;727,1;2;20;54;57;72;140;163;205;315;543;651
P_102653,W_33804,12,2;3;6;9;23;33;43;134;198;1006;8606;12530,4;281;385;459;628;1484;1650;2937;3094;3288;7922;12606,85;151;173;188;1390;1580;1732;2519;2773;6223;9161;13754,1;2;5;7;9;11;18;130;207;1241;8064;13272,8;19;56;169;202;571;906;1149;1284;1454;2692;13131,2;3;5;14;28;79;81;133;239;869;5783;13057,2;3;6;9;23;33;43;134;198;1006;8606;12530
P_102710,W_10144,12,6;15;25;27;33;92;95;132;269;475;822;1110,18;23;35;62;141;167;169;217;608;1020;1396;1838,551;619;762;978;1846;1853;2623;3124;3274;5100;5225;5824,2;4;5;6;8;21;34;37;72;237;764;920,2;3;13;23;25;41;56;65;97;186;694;847,8;9;10;12;30;34;36;52;107;251;700;751,6;15;25;27;33;92;95;132;269;475;822;1110
P_102746,W_1033,12,154;421;1269;2693;2875;2972;3092;3169;3986;6116;7926;9803,223;495;593;918;924;1945;2212;2668;2813;2899;3109;8977,91;331;439;760;1070;1509;1616;2386;2484;2749;2977;8940,107;404;1062;2081;2123;2661;2729;2736;2786;5962;7701;9457,34;96;1577;2078;2746;4935;5053;5187;5402;5409;7760;11048,30;302;937;1828;3088;3614;3898;3991;5433;6888;7807;7887,154;421;1269;2693;2875;2972;3092;3169;3986;6116;7926;9803
P_102802,W_20610,12,3;5;12;16;17;18;23;31;34;106;110;1718,2;4;26;85;141;261;315;597;710;894;1314;3253,10;57;94;200;881;1035;1044;1454;1811;3279;5284;6971,5;6;7;10;12;13;15;18;33;220;232;1718,3;6;7;14;22;34;41;50;72;84;94;225,3;5;8;11;17;18;27;28;41;54;73;704,3;5;12;16;17;18;23;31;34;106;110;1718
P_102917,W_5231,12,103;199;217;390;1320;1337;1516;1933;2683;3138;4091;5934,8;228;274;325;429;1045;1640;3215;3538;3713;4050;6214,258;400;770;926;1398;1409;2238;2255;2454;2637;2756;8762,197;321;339;570;1244;1464;1607;2450;2608;2765;3049;4651,324;956;1186;1302;1440;1549;1629;1990;3880;5155;5787;6682,139;376;382;538;1103;1343;1451;1490;2125;4164;4267;5530,103;199;217;390;1320;1337;1516;1933;2683;3138;4091;5934
P_102950,W_3092,12,1;2;3;16;19;32;60;108;271;327;439;455,3;7;24;38;159;266;287;585;894;1369;2353;4834,49;57;160;718;941;1747;2361;3062;4650;4732;4792;5399,1;2;3;16;27;29;51;112;275;327;519;608,1;4;10;15;126;203;315;319;480;688;819;1011,1;2;3;12;41;44;138;146;326;403;470;525,1;2;3;16;19;32;60;108;271;327;439;455
P_102984,W_4865,12,2;15;18;29;39;61;97;113;169;288;482;1892,36;64;122;195;252;255;362;363;546;801;946;3309,39;319;336;531;599;615;643;781;1590;2061;2138;2786,1;23;31;36;38;69;74;108;180;252;285;1891,1;15;25;54;68;180;299;503;582;663;1417;5146,1;13;24;48;51;67;100;120;154;176;653;3156,2;15;18;29;39;61;97;113;169;288;482;1892
P_102987,W_175,12,719;2660;4764;5646;7063;7597;7893;8183;8252;9172;11554;12544,3318;3400;5072;5199;7525;7584;9074;9673;9747;10521;10844;11308,2130;4895;6093;6144;7011;7531;8481;8958;9213;9849;10279;11023,539;1608;4034;5266;6398;7583;7617;7857;8248;8392;10727;11896,4807;4908;5073;7812;8375;8886;9324;9420;10127;10898;11276;11335,2109;3724;4816;7402;7682;8236;8758;8809;9107;9571;11360;11717,719;2660;4764;5646;7063;7597;7893;8183;8252;9172;11554;12544
P_103,W_103,12,1;3;4;10;11;40;65;85;143;158;456;5399,4;6;28;30;69;83;113;173;400;790;864;4108,12;192;224;235;400;790;961;1016;1044;1384;2624;9925,1;2;4;7;21;26;40;61;153;214;395;4949,1;2;7;18;59;73;117;129;159;279;539;1950,1;2;3;4;35;36;53;94;122;125;439;3310,1;3;4;10;11;40;65;85;143;158;456;5399
P_103143,W_103129,12,125;217;817;1872;3327;3756;3941;4167;4501;6915;7235;9519,1087;2214;2977;3176;3360;3402;3531;3743;4319;4397;5525;10996,942;2185;2498;2744;2960;3013;3864;4736;4867;5461;5594;6535,171;308;739;2265;3130;3244;3644;3730;4422;6201;6623;8431,127;727;1094;1419;2010;2867;3659;4277;6306;6413;9078;12719,106;368;1309;1443;2085;2713;3788;4945;5138;5200;7936;11346,125;217;817;1872;3327;3756;3941;4167;4501;6915;7235;9519
P_10317,W_13523,12,27;57;99;104;125;142;246;559;1353;1370;1579;1842,21;34;161;208;213;340;358;364;610;789;1290;6840,16;457;458;485;543;789;1685;1700;1810;1929;2569;4330,30;58;81;117;125;133;271;390;1056;1371;1546;1977,47;57;61;74;101;142;164;282;1120;1126;1153;2581,27;37;57;84;88;96;156;187;1101;1222;1360;1664,27;57;99;104;125;142;246;559;1353;1370;1579;1842
P_103197,W_53687,12,29;433;492;497;760;1002;1851;2204;2964;3503;3619;5074,115;316;427;531;858;1039;1199;2646;2831;3023;3214;3255,150;1112;1132;1646;1919;2202;4388;5009;5783;8421;9027;9957,53;295;337;583;851;1195;1427;2166;2770;2909;4290;4715,151;207;220;300;301;357;445;446;749;920;1086;2232,44;243;288;336;523;552;827;1050;1298;1637;2041;2630,29;433;492;497;760;1002;1851;2204;2964;3503;3619;5074
P_103216,W_10717,12,4;6;390;413;683;745;951;1053;4345;4954;8218;9348,250;345;419;2087;2509;2623;3835;4834;5696;6331;7456;10616,854;950;1691;1759;3311;4620;5213;7968;8677;8860;9889;10158,3;4;331;371;460;652;688;1350;4145;5960;7878;10784,2;81;102;108;136;146;350;483;5059;7061;7272;10314,1;6;140;243;266;296;321;489;4589;5985;7836;9842,4;6;390;413;683;745;951;1053;4345;4954;8218;9348
P_103233,W_272,12,1;2;3;5;6;7;8;11;12;17;45;96,1;6;9;20;27;29;53;79;81;125;148;1310,1;12;15;16;28;42;152;200;309;415;873;12648,1;2;3;4;5;6;8;9;10;12;48;127,1;7;8;9;11;12;18;25;33;39;49;153,1;2;3;4;5;7;8;9;14;17;33;84,1;2;3;5;6;7;8;11;12;17;45;96
P_103277,W_11471,12,16;1102;1161;1171;1178;1264;1291;1648;2063;2133;2564;5609,1;14;178;200;207;340;430;516;917;1481;1698;1718,46;461;561;1841;1948;2024;2036;2569;2783;3855;5418;6301,51;212;500;777;921;1027;1302;1451;1665;2252;3003;3260,535;848;1036;1269;1846;2103;2243;3004;3045;3258;3715;5202,157;835;937;1335;1407;1482;1633;2285;2450;2548;2716;5375,16;1102;1161;1171;1178;1264;1291;1648;2063;2133;2564;5609
