query_pid,query_wid,n_rel,s1_rel_ranks,s1_first,s1_ap,s1_top1,cov_K5,hyb_first_K5,hyb_ap_K5,hyb_top1_K5,rr_first_K5,rr_ap_K5,hub_first_K5,hub_ap_K5,hub_top1_K5,cov_K10,hyb_first_K10,hyb_ap_K10,hyb_top1_K10,rr_first_K10,rr_ap_K10,hub_first_K10,hub_ap_K10,hub_top1_K10,cov_K20,hyb_first_K20,hyb_ap_K20,hyb_top1_K20,rr_first_K20,rr_ap_K20,hub_first_K20,hub_ap_K20,hub_top1_K20,cov_K30,hyb_first_K30,hyb_ap_K30,hyb_top1_K30,rr_first_K30,rr_ap_K30,hub_first_K30,hub_ap_K30,hub_top1_K30,cov_K50,hyb_first_K50,hyb_ap_K50,hyb_top1_K50,rr_first_K50,rr_ap_K50,hub_first_K50,hub_ap_K50,hub_top1_K50,cov_K100,hyb_first_K100,hyb_ap_K100,hyb_top1_K100,rr_first_K100,rr_ap_K100,hub_first_K100,hub_ap_K100,hub_top1_K100,cov_K200,hyb_first_K200,hyb_ap_K200,hyb_top1_K200,rr_first_K200,rr_ap_K200,hub_first_K200,hub_ap_K200,hub_top1_K200,cov_K500,hyb_first_K500,hyb_ap_K500,hyb_top1_K500,rr_first_K500,rr_ap_K500,hub_first_K500,hub_ap_K500,hub_top1_K500
P_10144,W_10144,12,1;2;3;4;5;6;7;23;30;41;111;202,1,0.6708527971395059,P_4631,5,1,0.6708528,P_36793,1,0.6708528,1,0.6708528,P_61307,7,1,0.6708528,P_36793,1,0.6708528,1,0.6708528,P_61307,7,1,0.66043613,P_36793,1,0.64853137,1,0.6708528,P_61307,9,1,0.71031967,P_36793,1,0.69180115,1,0.7279784,P_61307,10,1,0.76089394,P_36793,1,0.72566667,1,0.78353396,P_36000,10,1,0.70787465,P_36793,1,0.65630399,1,0.77583502,P_36000,11,1,0.6652923,P_36793,1,0.59711481,1,0.77418925,P_36000,12,1,0.65599725,P_36793,1,0.57059267,1,0.84538244,P_36000
P_101442,W_63854,12,42;103;161;168;468;529;1312;2024;2556;2572;2676;2967,42,0.01104568069323756,P_327671,0,42,0.01104568,P_327671,42,0.01104568,42,0.01104568,P_327671,0,42,0.01104568,P_327671,42,0.01104568,42,0.01104568,P_327671,0,42,0.01104568,P_327671,42,0.01104568,42,0.01104568,P_327671,0,42,0.01104568,P_327671,42,0.01104568,42,0.01104568,P_327671,1,42,0.01104568,P_764328,39,0.01119831,2,0.05072822,P_764328,1,82,0.01007781,P_764328,79,0.01011641,4,0.02989489,P_764328,4,29,0.011528,P_764328,23,0.01235151,1,0.11519881,P_413555,5,50,0.00747854,P_764328,49,0.00747783,1,0.11287828,P_413555
P_101515,W_2393,12,1;2;3;4;76;98;111;223;494;509;642;5756,1,0.3569195993661276,P_2393,4,1,0.3569196,P_2393,1,0.3569196,1,0.3569196,P_2393,4,1,0.3569196,P_2393,1,0.3569196,1,0.3569196,P_2393,4,1,0.3569196,P_2393,1,0.3569196,1,0.3569196,P_2393,4,1,0.3569196,P_2393,1,0.3569196,1,0.3569196,P_2393,4,1,0.3569196,P_2393,1,0.3569196,1,0.3194196,P_2393,6,1,0.35870953,P_2393,1,0.35923193,1,0.321959,P_2393,7,1,0.3562509,P_2393,1,0.35666396,1,0.3169269,P_2393,9,1,0.35585811,P_2393,1,0.31755267,1,0.31485193,P_2393
P_101520,W_3162,12,1;3;4;5;9;10;11;15;92;514;2875;12147,1,0.47200120974975035,P_8404,4,1,0.53727899,P_8371,1,0.53727899,1,0.53727899,P_38903,6,1,0.60764936,P_8371,1,0.60764936,1,0.60764936,P_38903,8,1,0.56146429,P_8371,1,0.55091146,1,0.66017461,P_105417,8,1,0.51348149,P_8371,1,0.49305701,1,0.654114,P_105417,8,1,0.50395768,P_8371,1,0.45825468,1,0.654114,P_105417,9,1,0.41798564,P_8371,1,0.33928734,1,0.65429516,P_105417,9,1,0.31055108,P_8371,1,0.2500605,1,0.6376918,P_105417,9,1,0.26805061,P_8371,1,0.21720438,1,0.62675169,P_105417
P_101529,W_10788,12,12;38;72;139;191;229;398;464;718;895;2135;8403,12,0.026992087478096994,P_96011,0,12,0.02699209,P_449248,12,0.02699209,12,0.02699209,P_12478,0,12,0.02699209,P_31914,12,0.02699209,12,0.02699209,P_31914,1,3,0.04782542,P_31914,2,0.06171431,1,0.10338098,P_464990,1,3,0.04782542,P_31914,2,0.06171431,1,0.10338098,P_464990,2,1,0.14066168,P_795447,1,0.15455057,1,0.18232834,P_795447,3,1,0.22885612,P_795447,1,0.24135612,1,0.26218946,P_10788,5,1,0.37268924,P_795447,1,0.41038765,1,0.42427654,P_10788,8,1,0.39213712,P_795447,1,0.4343508,1,0.64646342,P_10788
P_101533,W_15519,12,142;166;252;471;580;696;770;1339;1815;1877;2773;6423,142,0.007326342540997202,P_409487,0,142,0.00732634,P_426749,142,0.00732634,142,0.00732634,P_398349,0,142,0.00732634,P_247039,142,0.00732634,142,0.00732634,P_27065,0,142,0.00732634,P_247039,142,0.00732634,142,0.00732634,P_512049,0,142,0.00732634,P_247039,142,0.00732634,142,0.00732634,P_512049,0,142,0.00732634,P_247039,142,0.00732634,142,0.00732634,P_3097,0,142,0.00732634,P_246,142,0.00732634,142,0.00732634,P_246,2,1,0.17240214,P_81277,1,0.17240214,1,0.17240214,P_56331,4,1,0.33736903,P_15519,1,0.33736903,1,0.33736903,P_15519
P_101534,W_3177,12,190;595;1682;2537;4634;5610;5737;6377;7264;7543;8305;8594,190,0.0018244552315723102,P_225493,0,190,0.00182446,P_518021,190,0.00182446,190,0.00182446,P_518021,0,190,0.00182446,P_270255,190,0.00182446,190,0.00182446,P_270255,0,190,0.00182446,P_270255,190,0.00182446,190,0.00182446,P_362881,0,190,0.00182446,P_270255,190,0.00182446,190,0.00182446,P_362881,0,190,0.00182446,P_270255,190,0.00182446,190,0.00182446,P_362881,0,190,0.00182446,P_270255,190,0.00182446,190,0.00182446,P_334091,1,33,0.00391111,P_772330,23,0.00500905,40,0.00346919,P_334091,1,48,0.00312197,P_772330,46,0.00319745,60,0.00277475,P_772330
P_101536,W_22451,12,5;22;83;216;1301;1763;1774;1828;3408;3850;6458;9780,5,0.030775790250071516,P_164734,1,1,0.09744246,P_81016,1,0.09744246,1,0.09744246,P_81016,1,1,0.09744246,P_81016,1,0.09744246,1,0.09744246,P_81016,1,1,0.09744246,P_81016,1,0.09744246,1,0.09744246,P_81016,2,1,0.17320003,P_81016,1,0.17320003,1,0.17320003,P_81016,2,1,0.17320003,P_81016,1,0.17320003,1,0.17320003,P_81016,3,1,0.25352132,P_81016,1,0.25352132,1,0.25352132,P_81016,3,1,0.25352132,P_444464,1,0.25352132,1,0.25352132,P_81016,4,1,0.33531144,P_444464,1,0.33531144,1,0.33531144,P_81016
P_1017,W_1017,12,1;2;3;7;8;10;18;22;23;44;114;299,1,0.5253463255322522,P_323537,3,1,0.52534633,P_323537,1,0.52534633,1,0.52534633,P_463272,6,1,0.60481061,P_323537,1,0.61373918,1,0.62564394,P_463272,7,1,0.62022066,P_746036,1,0.62299844,1,0.65156987,P_463272,9,1,0.69629703,P_746036,1,0.69827072,1,0.75468379,P_746036,10,1,0.65209683,P_746036,1,0.6097593,1,0.75919243,P_746036,10,1,0.58833011,P_746036,1,0.47128601,1,0.66936083,P_746036,11,1,0.52332488,P_746036,1,0.42887279,1,0.63194948,P_746036,12,1,0.50795881,P_746036,1,0.34762112,1,0.6630414,P_746036
P_101853,W_28493,12,575;716;2576;2785;3193;3366;3381;3962;4843;5292;6344;9908,575,0.0017720318419643085,P_393362,0,575,0.00177203,P_169573,575,0.00177203,575,0.00177203,P_393362,0,575,0.00177203,P_169573,575,0.00177203,575,0.00177203,P_319335,0,575,0.00177203,P_169573,575,0.00177203,575,0.00177203,P_91792,0,575,0.00177203,P_169573,575,0.00177203,575,0.00177203,P_91792,0,575,0.00177203,P_249511,575,0.00177203,575,0.00177203,P_91792,0,575,0.00177203,P_336974,575,0.00177203,575,0.00177203,P_91792,0,575,0.00177203,P_420363,575,0.00177203,575,0.00177203,P_91792,0,575,0.00177203,P_777314,575,0.00177203,575,0.00177203,P_91792
P_102024,W_2673,12,2;11;12;79;113;134;196;256;348;649;1866;3130,2,0.09911987530819664,P_4223,1,2,0.09911988,P_254520,2,0.09911988,1,0.14078654,P_16895,1,2,0.09911988,P_254520,2,0.09911988,1,0.14078654,P_16895,3,2,0.13952392,P_254520,2,0.13952392,1,0.18308452,P_16895,3,2,0.13535725,P_254520,2,0.13431558,1,0.17702392,P_16895,3,2,0.13005422,P_254520,4,0.07969486,1,0.16997263,P_16895,4,2,0.12741989,P_254520,4,0.07613784,1,0.16588143,P_16895,7,2,0.12863116,P_254520,5,0.06859491,2,0.11749688,P_320017,9,2,0.11824918,P_254520,7,0.04723571,2,0.0986076,P_320017
P_102104,W_6676,12,10;52;63;105;175;213;349;1067;1171;1279;1456;1747,10,0.02819995338142978,P_310840,0,10,0.02819995,P_14857,10,0.02819995,10,0.02819995,P_14857,1,1,0.10319995,P_114490,1,0.10319995,2,0.06153329,P_721589,1,1,0.10319995,P_114490,1,0.10319995,1,0.10319995,P_114490,1,1,0.10319995,P_114490,1,0.10319995,1,0.10319995,P_114490,1,1,0.10319995,P_114490,2,0.06153329,1,0.10319995,P_114490,3,1,0.10418629,P_114490,2,0.06311006,2,0.06206998,P_421895,5,1,0.10492756,P_114490,3,0.04874242,2,0.06507117,P_421895,7,1,0.10091366,P_114490,4,0.03701771,2,0.06676493,P_421895
P_10212,W_10212,12,1;2;25;30;41;129;418;473;1559;1707;2099;3486,1,0.20631416710037134,P_423882,2,1,0.17853639,P_423882,1,0.17853639,1,0.17853639,P_423882,2,1,0.17853639,P_423882,1,0.1646475,1,0.17853639,P_423882,2,1,0.17853639,P_423882,1,0.1646475,1,0.17853639,P_423882,4,1,0.33520306,P_423882,1,0.32409194,1,0.32409194,P_423882,5,1,0.35976268,P_101419,1,0.33328961,1,0.33328961,P_423882,5,1,0.33997101,P_101419,1,0.30716296,1,0.30996109,P_423882,6,1,0.40079412,P_101419,1,0.36553262,1,0.37517786,P_101419,8,1,0.36756816,P_101419,1,0.35280022,1,0.36702528,P_101419
P_10216,W_10216,12,127;240;325;355;371;406;808;856;1484;2221;2848;4247,127,0.008352112382147645,P_199379,0,127,0.00835211,P_130829,127,0.00835211,127,0.00835211,P_130829,0,127,0.00835211,P_548849,127,0.00835211,127,0.00835211,P_548849,0,127,0.00835211,P_703297,127,0.00835211,127,0.00835211,P_703297,0,127,0.00835211,P_703297,127,0.00835211,127,0.00835211,P_703297,0,127,0.00835211,P_703297,127,0.00835211,127,0.00835211,P_703297,0,127,0.00835211,P_703297,127,0.00835211,127,0.00835211,P_703297,1,141,0.00828696,P_703297,137,0.00830422,106,0.00848211,P_703297,6,1,0.10778193,P_554293,1,0.12089594,1,0.18119106,P_554293
P_102166,W_2976,12,2;22;42;110;171;225;314;429;769;808;2262;3015,2,0.06903929542056748,P_410192,1,3,0.05515041,P_410192,3,0.05515041,3,0.05515041,P_410192,1,5,0.0440393,P_410192,6,0.04126152,5,0.0440393,P_410192,1,8,0.0377893,P_410192,10,0.03570596,8,0.0377893,P_410192,2,11,0.03378289,P_410192,13,0.03261738,10,0.03606671,P_410192,3,15,0.03105316,P_410192,20,0.02991592,14,0.03214806,P_410192,3,26,0.02286279,P_410192,40,0.02170884,34,0.022431,P_307999,5,29,0.0288933,P_166621,20,0.0280001,45,0.02295818,P_264785,8,43,0.02816161,P_571935,36,0.02587435,22,0.02492126,P_264785
P_102167,W_2974,12,2;194;212;214;218;278;283;371;375;456;471;604,2,0.06026004898313191,P_51434,1,4,0.03942672,P_44427,4,0.03942672,2,0.06026005,P_14272,1,6,0.03248227,P_44427,6,0.03248227,2,0.06026005,P_14272,1,14,0.02454576,P_44427,14,0.02454576,2,0.06026005,P_14272,1,19,0.02297935,P_14272,21,0.02256164,3,0.04637116,P_14272,1,29,0.02146695,P_14272,33,0.02111863,4,0.03942672,P_14272,1,51,0.02022737,P_80071,62,0.01993747,11,0.02616914,P_14272,2,73,0.02063021,P_80071,51,0.02079276,18,0.02741441,P_23776,11,3,0.06475565,P_6632,3,0.06992697,3,0.1409424,P_23776
P_102171,W_100,12,23;24;48;54;186;191;526;830;2187;2289;2708;11212,23,0.029853650569031456,P_291619,0,23,0.02985365,P_421831,23,0.02985365,23,0.02985365,P_421831,0,23,0.02985365,P_421831,23,0.02985365,23,0.02985365,P_366432,0,23,0.02985365,P_640972,23,0.02985365,23,0.02985365,P_640972,2,1,0.18595268,P_319330,1,0.18595268,1,0.18595268,P_100,3,1,0.26407768,P_388605,1,0.26407768,1,0.26407768,P_100,4,1,0.34123818,P_388605,1,0.34123818,1,0.34123818,P_100,6,1,0.44471357,P_388605,1,0.46516811,1,0.5030469,P_100,6,1,0.44244084,P_388605,1,0.36903206,1,0.5030469,P_388605
P_102273,W_7495,12,2;6;8;21;63;69;78;80;116;131;295;4071,2,0.16241938447605933,P_361158,1,1,0.20408605,P_299119,1,0.20408605,1,0.20408605,P_299119,3,1,0.29089161,P_50915,1,0.29089161,1,0.31172494,P_50915,3,1,0.29089161,P_50915,1,0.27839161,1,0.31172494,P_50915,4,1,0.36251859,P_50915,1,0.34347097,1,0.37918526,P_50915,4,1,0.36251859,P_50915,1,0.34347097,1,0.37918526,P_50915,8,1,0.45270016,P_50915,1,0.41907124,1,0.53163111,P_50915,10,1,0.58239569,P_50915,1,0.5532295,1,0.68017686,P_50915,11,1,0.63726576,P_50915,1,0.61009196,1,0.74681005,P_50915
P_10229,W_167,12,2;84;242;264;366;810;818;987;1252;1572;1949;2199,2,0.0511449947689104,P_25031,1,1,0.09281166,P_13385,1,0.09281166,1,0.09281166,P_13385,1,1,0.09281166,P_13385,1,0.09281166,1,0.09281166,P_13385,1,1,0.09281166,P_13385,1,0.09281166,1,0.09281166,P_13385,1,1,0.09281166,P_13385,1,0.09281166,1,0.09281166,P_13385,1,1,0.09281166,P_13385,1,0.09281166,1,0.09281166,P_13385,2,1,0.17416087,P_13385,1,0.17416087,1,0.17416087,P_158635,2,1,0.17416087,P_13385,1,0.17416087,1,0.17416087,P_158635,5,1,0.30961564,P_13385,1,0.34797543,1,0.38368971,P_158635
P_102343,W_40034,12,1;642;1371;3663;5416;7747;7798;8265;8549;12227;12240;12886,1,0.08447160746539989,P_40034,1,2,0.04280494,P_461598,2,0.04280494,2,0.04280494,P_461598,1,4,0.02197161,P_185645,5,0.01780494,4,0.02197161,P_185645,1,8,0.01155494,P_426548,10,0.00947161,6,0.01502716,P_426548,1,12,0.00808272,P_426548,14,0.00709066,8,0.01155494,P_426548,1,18,0.0057679,P_426548,23,0.00476146,11,0.00871403,P_426548,1,29,0.00401184,P_426548,46,0.00294987,16,0.00634661,P_426548,1,55,0.00265343,P_426548,83,0.00214229,25,0.00447161,P_426548,1,101,0.00196336,P_373912,166,0.00164028,38,0.00333126,P_53166
P_10237,W_10237,12,1;2;4;5;7;14;32;49;71;135;358;3601,1,0.4424804792568105,P_59778,4,1,0.47998048,P_59778,1,0.47998048,1,0.47998048,P_59778,5,1,0.50379,P_59778,1,0.50379,1,0.50379,P_59778,6,1,0.55140905,P_59778,1,0.55140905,1,0.55140905,P_59778,6,1,0.55140905,P_59778,1,0.55140905,1,0.55140905,P_59778,8,1,0.64077153,P_59778,1,0.62410487,1,0.65466042,P_59778,9,1,0.70520815,P_59778,1,0.68854148,1,0.69270815,P_78937,10,1,0.75631969,P_59778,1,0.73397121,1,0.76847976,P_78937,11,1,0.8050218,P_59778,1,0.76511957,1,0.83334348,P_78937
P_102396,W_31003,12,70;192;629;670;689;746;764;1117;1800;2238;2531;3096,70,0.007063041033149686,P_495930,0,70,0.00706304,P_282759,70,0.00706304,70,0.00706304,P_282759,0,70,0.00706304,P_282759,70,0.00706304,70,0.00706304,P_282759,0,70,0.00706304,P_282759,70,0.00706304,70,0.00706304,P_27289,0,70,0.00706304,P_282759,70,0.00706304,70,0.00706304,P_27289,0,70,0.00706304,P_282759,70,0.00706304,70,0.00706304,P_27289,1,9,0.01513182,P_282759,6,0.01976145,13,0.01228282,P_37513,2,13,0.0160444,P_282759,11,0.01924693,1,0.09429022,P_115455,2,25,0.0111627,P_97359,32,0.01034092,2,0.04993915,P_586917
P_10242,W_10237,12,1;2;4;8;53;69;73;82;153;255;564;2581,1,0.31224497112064725,P_106062,3,1,0.3330783,P_59778,1,0.3330783,1,0.3330783,P_106062,4,1,0.37474497,P_59778,1,0.37474497,1,0.37474497,P_106062,4,1,0.37474497,P_59778,1,0.37474497,1,0.37474497,P_106062,4,1,0.37474497,P_59778,1,0.37474497,1,0.37474497,P_106062,4,1,0.37474497,P_59778,1,0.37474497,1,0.37474497,P_106062,8,1,0.62407157,P_59778,1,0.64976601,1,0.54869278,P_106062,9,1,0.67922252,P_59778,1,0.70691242,1,0.56583627,P_106062,10,1,0.69032206,P_59778,1,0.68752084,1,0.55443227,P_106062
P_102435,W_9626,12,56;65;167;168;197;281;333;508;733;819;1035;1636,56,0.018029445734771565,P_680,0,56,0.01802945,P_22557,56,0.01802945,56,0.01802945,P_22557,0,56,0.01802945,P_22557,56,0.01802945,56,0.01802945,P_22557,0,56,0.01802945,P_22557,56,0.01802945,56,0.01802945,P_22557,0,56,0.01802945,P_22557,56,0.01802945,56,0.01802945,P_22557,0,56,0.01802945,P_22557,56,0.01802945,56,0.01802945,P_22557,2,55,0.0177755,P_22557,53,0.01789699,16,0.02183108,P_6622,5,95,0.01585178,P_22557,96,0.01589458,27,0.01892812,P_707306,7,203,0.01092374,P_2271,235,0.01082996,43,0.01372111,P_37956
P_102458,W_11817,12,121;167;240;317;670;690;887;1047;1207;1279;1382;3538,121,0.008639677706579236,P_379424,0,121,0.00863968,P_333695,121,0.00863968,121,0.00863968,P_333695,0,121,0.00863968,P_333695,121,0.00863968,121,0.00863968,P_333695,0,121,0.00863968,P_333695,121,0.00863968,121,0.00863968,P_333695,0,121,0.00863968,P_790823,121,0.00863968,121,0.00863968,P_184186,0,121,0.00863968,P_790823,121,0.00863968,121,0.00863968,P_184186,0,121,0.00863968,P_204171,121,0.00863968,121,0.00863968,P_184186,2,8,0.02614156,P_204171,5,0.0355244,1,0.14584186,P_430698,4,1,0.10507192,P_11817,1,0.10491186,1,0.19011017,P_11817
P_102471,W_10717,12,6;10;30;56;73;95;155;181;1013;2017;2846;7937,6,0.06486048405023387,P_240197,0,6,0.06486048,P_240197,6,0.06486048,6,0.06486048,P_240197,2,3,0.10374937,P_240197,1,0.15930493,1,0.14541604,P_338634,2,6,0.06902715,P_53966,4,0.0759716,1,0.13278978,P_338634,3,7,0.08370969,P_25113,4,0.09334173,2,0.14402715,P_240197,3,9,0.07112829,P_53985,9,0.06382563,2,0.12246282,P_240197,6,3,0.16503041,P_53985,3,0.16346737,1,0.4123221,P_339414,8,1,0.25532567,P_552639,1,0.22500489,1,0.50914992,P_552639,8,1,0.17992336,P_552639,1,0.15107667,1,0.4699591,P_552639
